,NIS3,DATE,CASES,name,NIS5,POP,CASES_PER_1000HABITANT
916,13,2020-03-08,1,Turnhout,13000,461867,0.0
12931,63,2020-03-08,5,Verviers,63000,287772,0.02
4032,33,2020-03-08,2,Ypres,33000,106279,0.02
6546,41,2020-03-09,3,Alost,41000,291229,0.01
7,11,2020-03-09,3,Anvers,11000,1051301,0.0
1377,21,2020-03-09,9,Bruxelles-Capitale,21000,1208542,0.01
9501,52,2020-03-09,3,Charleroi,52000,396639,0.01
4447,34,2020-03-09,1,Courtrai,34000,290706,0.0
16942,91,2020-03-09,1,Dinant,91000,111008,0.01
7798,44,2020-03-09,2,Gand,44000,560522,0.0
1841,23,2020-03-09,9,Hal-Vilvorde,23000,637441,0.01
13763,71,2020-03-09,2,Hasselt,71000,418496,0.0
12070,61,2020-03-09,3,Huy,61000,113409,0.03
11645,58,2020-03-09,2,La Louvière,58000,141060,0.01
12474,62,2020-03-09,9,Liège,62000,624422,0.01
2302,24,2020-03-09,5,Louvain,24000,508734,0.01
14224,72,2020-03-09,2,Maaseik,72000,251589,0.01
471,12,2020-03-09,1,Malines,12000,344818,0.0
9945,53,2020-03-09,2,Mons,53000,258999,0.01
17344,92,2020-03-09,1,Namur,92000,316962,0.0
2756,25,2020-03-09,5,Nivelles,25000,403599,0.01
4892,35,2020-03-09,1,Ostende,35000,157200,0.01
17778,93,2020-03-09,1,Philippeville,93000,66355,0.02
5334,36,2020-03-09,1,Roulers,36000,153315,0.01
6984,42,2020-03-09,1,Termonde,42000,201213,0.0
917,13,2020-03-09,2,Turnhout,13000,461867,0.0
12932,63,2020-03-09,4,Verviers,63000,287772,0.01
13370,64,2020-03-09,1,Waremme,64000,81389,0.01
6547,41,2020-03-10,2,Alost,41000,291229,0.01
8,11,2020-03-10,5,Anvers,11000,1051301,0.0
8249,45,2020-03-10,1,Audenarde,45000,124342,0.01
1378,21,2020-03-10,9,Bruxelles-Capitale,21000,1208542,0.01
9502,52,2020-03-10,2,Charleroi,52000,396639,0.01
4448,34,2020-03-10,1,Courtrai,34000,290706,0.0
7420,43,2020-03-10,1,Eeklo,43000,85235,0.01
6183,38,2020-03-10,1,Furnes,38000,61657,0.02
7799,44,2020-03-10,6,Gand,44000,560522,0.01
1842,23,2020-03-10,8,Hal-Vilvorde,23000,637441,0.01
13764,71,2020-03-10,4,Hasselt,71000,418496,0.01
12475,62,2020-03-10,6,Liège,62000,624422,0.01
2303,24,2020-03-10,4,Louvain,24000,508734,0.01
472,12,2020-03-10,2,Malines,12000,344818,0.01
15859,83,2020-03-10,2,Marche-en-Famenne,83000,56476,0.04
9946,53,2020-03-10,3,Mons,53000,258999,0.01
2757,25,2020-03-10,3,Nivelles,25000,403599,0.01
8660,46,2020-03-10,1,Saint-Nicolas,46000,252523,0.0
6985,42,2020-03-10,2,Termonde,42000,201213,0.01
14673,73,2020-03-10,3,Tongres,73000,203963,0.01
11196,57,2020-03-10,1,Tournai,57000,223417,0.0
918,13,2020-03-10,2,Turnhout,13000,461867,0.0
12933,63,2020-03-10,2,Verviers,63000,287772,0.01
4033,33,2020-03-10,1,Ypres,33000,106279,0.01
6548,41,2020-03-11,2,Alost,41000,291229,0.01
9,11,2020-03-11,11,Anvers,11000,1051301,0.01
15115,81,2020-03-11,2,Arlon,81000,62623,0.03
9105,51,2020-03-11,1,Ath,51000,127915,0.01
8250,45,2020-03-11,2,Audenarde,45000,124342,0.02
3213,31,2020-03-11,2,Bruges,31000,282209,0.01
1379,21,2020-03-11,9,Bruxelles-Capitale,21000,1208542,0.01
3653,32,2020-03-11,1,Dixmude,32000,51525,0.02
7800,44,2020-03-11,7,Gand,44000,560522,0.01
1843,23,2020-03-11,18,Hal-Vilvorde,23000,637441,0.03
13765,71,2020-03-11,11,Hasselt,71000,418496,0.03
12476,62,2020-03-11,12,Liège,62000,624422,0.02
2304,24,2020-03-11,5,Louvain,24000,508734,0.01
14225,72,2020-03-11,1,Maaseik,72000,251589,0.0
473,12,2020-03-11,2,Malines,12000,344818,0.01
9947,53,2020-03-11,9,Mons,53000,258999,0.03
17345,92,2020-03-11,5,Namur,92000,316962,0.02
2758,25,2020-03-11,2,Nivelles,25000,403599,0.0
4893,35,2020-03-11,1,Ostende,35000,157200,0.01
5335,36,2020-03-11,2,Roulers,36000,153315,0.01
8661,46,2020-03-11,4,Saint-Nicolas,46000,252523,0.02
10387,55,2020-03-11,1,Soignies,55000,104533,0.01
6986,42,2020-03-11,3,Termonde,42000,201213,0.01
10798,56,2020-03-11,1,Thuin,56000,91678,0.01
5777,37,2020-03-11,1,Tielt,37000,92905,0.01
14674,73,2020-03-11,2,Tongres,73000,203963,0.01
11197,57,2020-03-11,1,Tournai,57000,223417,0.0
919,13,2020-03-11,6,Turnhout,13000,461867,0.01
12934,63,2020-03-11,5,Verviers,63000,287772,0.02
13371,64,2020-03-11,1,Waremme,64000,81389,0.01
4034,33,2020-03-11,1,Ypres,33000,106279,0.01
6549,41,2020-03-12,5,Alost,41000,291229,0.02
10,11,2020-03-12,9,Anvers,11000,1051301,0.01
15116,81,2020-03-12,1,Arlon,81000,62623,0.02
9106,51,2020-03-12,1,Ath,51000,127915,0.01
8251,45,2020-03-12,3,Audenarde,45000,124342,0.02
15500,82,2020-03-12,1,Bastogne,82000,48413,0.02
3214,31,2020-03-12,3,Bruges,31000,282209,0.01
1380,21,2020-03-12,19,Bruxelles-Capitale,21000,1208542,0.02
9503,52,2020-03-12,1,Charleroi,52000,396639,0.0
4449,34,2020-03-12,2,Courtrai,34000,290706,0.01
7421,43,2020-03-12,1,Eeklo,43000,85235,0.01
7801,44,2020-03-12,7,Gand,44000,560522,0.01
1844,23,2020-03-12,18,Hal-Vilvorde,23000,637441,0.03
13766,71,2020-03-12,5,Hasselt,71000,418496,0.01
12071,61,2020-03-12,1,Huy,61000,113409,0.01
12477,62,2020-03-12,17,Liège,62000,624422,0.03
2305,24,2020-03-12,6,Louvain,24000,508734,0.01
14226,72,2020-03-12,6,Maaseik,72000,251589,0.02
474,12,2020-03-12,7,Malines,12000,344818,0.02
15860,83,2020-03-12,1,Marche-en-Famenne,83000,56476,0.02
9948,53,2020-03-12,20,Mons,53000,258999,0.08
17346,92,2020-03-12,2,Namur,92000,316962,0.01
2759,25,2020-03-12,5,Nivelles,25000,403599,0.01
4894,35,2020-03-12,2,Ostende,35000,157200,0.01
5336,36,2020-03-12,2,Roulers,36000,153315,0.01
8662,46,2020-03-12,2,Saint-Nicolas,46000,252523,0.01
6987,42,2020-03-12,4,Termonde,42000,201213,0.02
10799,56,2020-03-12,1,Thuin,56000,91678,0.01
5778,37,2020-03-12,3,Tielt,37000,92905,0.03
14675,73,2020-03-12,3,Tongres,73000,203963,0.01
11198,57,2020-03-12,3,Tournai,57000,223417,0.01
920,13,2020-03-12,7,Turnhout,13000,461867,0.02
12935,63,2020-03-12,8,Verviers,63000,287772,0.03
4035,33,2020-03-12,1,Ypres,33000,106279,0.01
6550,41,2020-03-13,3,Alost,41000,291229,0.01
11,11,2020-03-13,24,Anvers,11000,1051301,0.02
15117,81,2020-03-13,2,Arlon,81000,62623,0.03
9107,51,2020-03-13,1,Ath,51000,127915,0.01
