,date,Age,Location
313,2019-01-24,79,Floreffe
314,2019-01-24,51,Juseret
315,2019-01-24,85,Lommel
316,2019-01-24,76,Genk
317,2019-01-24,76,Peer
318,2019-01-24,86,Bree
319,2019-01-24,81,Lummen
320,2019-01-24,89,Kuringen
321,2019-01-24,90,-
322,2019-01-24,77,Sint-Truiden
323,2019-01-24,91,Herstappe
324,2019-01-24,97,Bastogne
325,2019-01-24,78,Hasselt
326,2019-01-24,73,Nazareth
327,2019-01-24,79,Hasselt
328,2019-01-24,73,Zutendaal
329,2019-01-24,84,Tournai
330,2019-01-24,85,Herk-de-Stad
331,2019-01-24,75,Flobecq
332,2019-01-24,93,Gembloux
333,2019-01-24,93,Kozen
334,2019-01-24,69,Sint-Truiden
335,2019-01-24,60,Sauvenière
336,2019-01-24,61,Gent
337,2019-01-24,94,Hechtel
338,2019-01-24,60,-
339,2019-01-24,81,Mouscron
340,2019-01-24,57,-
341,2019-01-24,88,Tournai
342,2019-01-24,78,Brasschaat
343,2019-01-24,95,Saint-Servais
344,2019-01-23,84,Saint-Léger
345,2019-01-23,87,Lommel
346,2019-01-23,78,Lommel
347,2019-01-23,89,-
348,2019-01-23,93,-
349,2019-01-23,45,Wachtebeke
350,2019-01-23,88,Heverlee
351,2019-01-23,105,Oudenaarde
352,2019-01-23,86,Ronse
353,2019-01-23,98,Horebeke
354,2019-01-23,66,Ath
355,2019-01-23,81,-
356,2019-01-23,78,Heverlee
357,2019-01-23,83,Sint-Truiden
358,2019-01-23,77,Opglabbeek
359,2019-01-23,81,Oudegem
360,2019-01-23,91,Ham-sur-Sambre
361,2019-01-23,68,Namur
362,2019-01-23,84,Genk
363,2019-01-23,81,Alken
364,2019-01-23,85,Peer
365,2019-01-23,102,Zonhoven
366,2019-01-23,71,Dinant
367,2019-01-23,89,Izel
368,2019-01-23,90,Maffle
369,2019-01-23,82,Havelange
370,2019-01-23,87,-
371,2019-01-23,81,Overpelt
372,2019-01-23,74,Mechelen-aan-de-Maas
373,2019-01-23,80,'s Gravenwezel
374,2019-01-23,85,Munsterbilzen
375,2019-01-23,80,Boorsem
376,2019-01-23,89,Verviers
377,2019-01-23,88,Leuze-en-Hainaut
378,2019-01-23,35,Beauraing
379,2019-01-23,64,Nieuwerkerken
380,2019-01-23,81,Meeuwen
381,2019-01-23,63,Noville
382,2019-01-23,86,Kalmthout
383,2019-01-23,88,Varsenare
384,2019-01-23,90,Oud-Turnhout
385,2019-01-23,84,Genoelselderen
386,2019-01-23,74,Dilsen-Stokkem
387,2019-01-23,85,Mechelen-aan-de-Maas
388,2019-01-23,78,Houthalen
389,2019-01-22,81,Belgrade
390,2019-01-22,83,Lier
391,2019-01-22,86,Bilzen
392,2019-01-22,80,Lommel
393,2019-01-22,63,Kortessem
394,2019-01-22,73,Zolder
395,2019-01-22,91,Genk
396,2019-01-22,75,Bastogne
397,2019-01-22,76,Ciney
398,2019-01-22,78,Sainte-Cécile
399,2019-01-22,90,Mortsel
400,2019-01-22,74,Lessines
401,2019-01-22,82,Wanze
402,2019-01-22,68,Roeselare
403,2019-01-22,80,-
404,2019-01-22,82,Lambermont
405,2019-01-22,88,Sint-Truiden
406,2019-01-22,79,Jambes
407,2019-01-22,64,Nassogne
408,2019-01-22,92,Verviers
409,2019-01-22,84,Riemst
410,2019-01-22,84,Andenne
411,2019-01-22,94,Gouvy
412,2019-01-22,96,Merdorp
413,2019-01-22,82,Huy
414,2019-01-22,89,Papignies
415,2019-01-22,53,Genk
416,2019-01-22,59,Bocholt
417,2019-01-22,77,Veldwezelt
418,2019-01-22,50,
419,2019-01-22,96,Overpelt
420,2019-01-22,87,-
421,2019-01-22,72,Linkhout
422,2019-01-22,90,-
423,2019-01-22,98,Kessel-Lo
424,2019-01-22,51,Marche-en-Famenne
425,2019-01-22,95,Piétrain
426,2019-01-22,57,Bomal-sur-Ourthe
427,2019-01-22,95,Ollignies
428,2019-01-22,78,Jalhay
429,2019-01-21,60,Signeulx
430,2019-01-21,89,Ethe
431,2019-01-21,119,-
432,2019-01-21,69,Spy
433,2019-01-21,91,Neeroeteren
434,2019-01-21,31,
435,2019-01-21,81,Ledegem
436,2019-01-21,83,Hasselt
437,2019-01-21,73,Havinnes
438,2019-01-21,68,
439,2019-01-21,85,Wellin
440,2019-01-21,60,-
441,2019-01-21,78,Mol
442,2019-01-21,89,Genk
443,2019-01-21,105,Sint-Martens-Latem
444,2019-01-21,92,Omezée
445,2019-01-21,78,Kuurne
446,2019-01-21,87,-
447,2019-01-21,76,Ixelles
448,2019-01-21,87,Zonhoven
449,2019-01-21,83,-
450,2019-01-21,84,Wattripont
451,2019-01-21,21,Heusden-Zolder
452,2019-01-21,77,Leuze-en-Hainaut
453,2019-01-21,88,Zolder
454,2019-01-21,92,Kapellen
