Jaar week,AgeGroup,Hospitalisations
30 nov. 2020 t/m 6 dec. 2020 (Week 49),40–59,0.16
7 dec. 2020 t/m 13 dec. 2020 (Week 50),20–39,0.061
7 dec. 2020 t/m 13 dec. 2020 (Week 50),06–19,0.018
7 dec. 2020 t/m 13 dec. 2020 (Week 50),00–05,0.011
7 dec. 2020 t/m 13 dec. 2020 (Week 50),80–++,0.441
7 dec. 2020 t/m 13 dec. 2020 (Week 50),60–79,0.34
7 dec. 2020 t/m 13 dec. 2020 (Week 50),40–59,0.128
14 dec. 2020 t/m 20 dec. 2020 (Week 51),40–59,0.15
14 dec. 2020 t/m 20 dec. 2020 (Week 51),60–79,0.36
14 dec. 2020 t/m 20 dec. 2020 (Week 51),80–++,0.418
14 dec. 2020 t/m 20 dec. 2020 (Week 51),20–39,0.05
14 dec. 2020 t/m 20 dec. 2020 (Week 51),06–19,0.011
14 dec. 2020 t/m 20 dec. 2020 (Week 51),00–05,0.011
21 dec. 2020 t/m 27 dec. 2020 (Week 52),20–39,0.039
21 dec. 2020 t/m 27 dec. 2020 (Week 52),06–19,0.007
21 dec. 2020 t/m 27 dec. 2020 (Week 52),80–++,0.43
21 dec. 2020 t/m 27 dec. 2020 (Week 52),60–79,0.366
21 dec. 2020 t/m 27 dec. 2020 (Week 52),40–59,0.146
21 dec. 2020 t/m 27 dec. 2020 (Week 52),00–05,0.012
28 dec. 2020 t/m 3 jan. 2021 (Week 53),06–19,0.006
28 dec. 2020 t/m 3 jan. 2021 (Week 53),00–05,0.004
28 dec. 2020 t/m 3 jan. 2021 (Week 53),20–39,0.044
28 dec. 2020 t/m 3 jan. 2021 (Week 53),80–++,0.437
28 dec. 2020 t/m 3 jan. 2021 (Week 53),60–79,0.364
28 dec. 2020 t/m 3 jan. 2021 (Week 53),40–59,0.145
4 jan. 2021 t/m 10 jan. 2021 (Week 1),00–05,0.007
4 jan. 2021 t/m 10 jan. 2021 (Week 1),20–39,0.052
4 jan. 2021 t/m 10 jan. 2021 (Week 1),06–19,0.009
4 jan. 2021 t/m 10 jan. 2021 (Week 1),80–++,0.424
4 jan. 2021 t/m 10 jan. 2021 (Week 1),60–79,0.357
4 jan. 2021 t/m 10 jan. 2021 (Week 1),40–59,0.151
11 jan. 2021 t/m 17 jan. 2021 (Week 2),06–19,0.013
11 jan. 2021 t/m 17 jan. 2021 (Week 2),00–05,0.012
11 jan. 2021 t/m 17 jan. 2021 (Week 2),80–++,0.378
11 jan. 2021 t/m 17 jan. 2021 (Week 2),60–79,0.367
