INS,FR_INS,NL_INS,INS6,FR_INS6,NL_INS6,
12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,12035A,SINT-KATELIJNE-WAVER*,SINT-KATELIJNE-WAVER*,
12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,12035B,ONZE-LIEVE-VROUW-WAVER*,ONZE-LIEVE-VROUW-WAVER*,
12040,Willebroek,Willebroek,12040A,WILLEBROEK* & DEEL BREENDONK EN RUISBROEK,WILLEBROEK* & DEEL BREENDONK EN RUISBROEK,
12040,Willebroek,Willebroek,12040B,HEINDONK,HEINDONK,
12040,Willebroek,Willebroek,12040C,BLAASVELD,BLAASVELD,
12040,Willebroek,Willebroek,12040D,TISSELT* + DEEL BREENDONK,TISSELT* + DEEL BREENDONK,
13001,Arendonk,Arendonk,13001A,ARENDONK* & DEEL RETIE,ARENDONK* & DEEL RETIE,
13002,Baarle-Hertog,Baerle-Duc,13002A,BAARLE-HERTOG,BAARLE-HERTOG,
13003,Balen,Balen,13003A,BALEN,BALEN,
13003,Balen,Balen,13003B,OLMEN,OLMEN,
13004,Beerse,Beerse,13004A,BEERSE,BEERSE,
13004,Beerse,Beerse,13004B,VLIMMEREN,VLIMMEREN,
13006,Dessel,Dessel,13006A,DESSEL,DESSEL,
13008,Geel,Geel,13008A,GEEL + DEEL OEVEL,GEEL + DEEL OEVEL,
13008,Geel,Geel,13008B,TEN AARD,TEN AARD,
13010,Grobbendonk,Grobbendonk,13010A,GROBBENDONK,GROBBENDONK,
13010,Grobbendonk,Grobbendonk,13010B,BOUWEL,BOUWEL,
13011,Herentals,Herentals,13011A,HERENTALS,HERENTALS,
13011,Herentals,Herentals,13011B,NOORDERWIJK,NOORDERWIJK,
13011,Herentals,Herentals,13011C,MORKHOVEN,MORKHOVEN,
13012,Herenthout,Herenthout,13012A,HERENTHOUT,HERENTHOUT,
13013,Herselt,Herselt,13013A,HERSELT,HERSELT,
13013,Herselt,Herselt,13013B,RAMSEL,RAMSEL,
13014,Hoogstraten,Hoogstraten,13014A,HOOGSTRATEN,HOOGSTRATEN,
13014,Hoogstraten,Hoogstraten,13014B,MINDERHOUT,MINDERHOUT,
13014,Hoogstraten,Hoogstraten,13014C,MEER,MEER,
13014,Hoogstraten,Hoogstraten,13014D,MEERLE,MEERLE,
13014,Hoogstraten,Hoogstraten,13014E,WORTEL,WORTEL,
13016,Hulshout,Hulshout,13016A,HULSHOUT,HULSHOUT,
13016,Hulshout,Hulshout,13016B,WESTMEERBEEK,WESTMEERBEEK,
13016,Hulshout,Hulshout,13016C,HOUTVENNE,HOUTVENNE,
13017,Kasterlee,Kasterlee,13017A,KASTERLEE,KASTERLEE,
13017,Kasterlee,Kasterlee,13017B,LICHTAART,LICHTAART,
13017,Kasterlee,Kasterlee,13017C,TIELEN,TIELEN,
13019,Lille,Lille,13019A,LILLE,LILLE,
13019,Lille,Lille,13019B,WECHELDERZANDE,WECHELDERZANDE,
13019,Lille,Lille,13019C,GIERLE + DEEL VAN VOSSELAAR,GIERLE + DEEL VAN VOSSELAAR,
13019,Lille,Lille,13019D,POEDERLEE,POEDERLEE,
13021,Meerhout,Meerhout,13021A,MEERHOUT,MEERHOUT,
13023,Merksplas,Merksplas,13023A,MERKSPLAS + DEEL RIJKEVORSEL,MERKSPLAS + DEEL RIJKEVORSEL,
13025,Mol,Mol,13025A,MOL,MOL,
13029,Olen,Olen,13029A,OLEN,OLEN,
13031,Oud-Turnhout,Oud-Turnhout,13031A,OUD-TURNHOUT*,OUD-TURNHOUT*,
13035,Ravels,Ravels,13035A,RAVELS & DEEL OUD-TURNHOUT,RAVELS & DEEL OUD-TURNHOUT,
13035,Ravels,Ravels,13035B,WEELDE,WEELDE,
13035,Ravels,Ravels,13035C,POPPEL,POPPEL,
13036,Retie,Retie,13036A,RETIE* & DEEL ARENDONK & OUD-TURNHOUT,RETIE* & DEEL ARENDONK & OUD-TURNHOUT,
13037,Rijkevorsel,Rijkevorsel,13037A,RIJKEVORSEL*,RIJKEVORSEL*,
13040,Turnhout,Turnhout,13040A,TURNHOUT,TURNHOUT,
13044,Vorselaar,Vorselaar,13044A,VORSELAAR,VORSELAAR,
