INS,FR,Langue,NL
45000,Arrondissement d'Audenarde,,Arrondissement Oudenaarde
45035,Audenarde,N,Oudenaarde
45059,Brakel,N,Brakel
45062,Horebeke,N,Horebeke
45060,Kluisbergen,N,Kluisbergen
45068,Kruisem,N,Kruisem
45063,Lierde,N,Lierde
45064,Maarkedal,N,Maarkedal
45041,Renaix,N,Ronse
45061,Wortegem-Petegem,N,Wortegem-Petegem
45065,Zwalm,N,Zwalm
43000,Arrondissement d'Eeklo,,Arrondissement Eeklo
43002,Assenede,N,Assenede
43005,Eeklo,N,Eeklo
43007,Kaprijke,N,Kaprijke
43010,Maldegem,N,Maldegem
43014,Sint-Laureins,N,Sint-Laureins
43018,Zelzate,N,Zelzate
44000,Arrondissement de Gand,,Arrondissement Gent
44084,Aalter,N,Aalter
44012,De Pinte,N,De Pinte
44083,Deinze,N,Deinze
44013,Destelbergen,N,Destelbergen
44019,Evergem,N,Evergem
44021,Gand,N,Gent
44020,Gavere,N,Gavere
44085,Lievegem,N,Lievegem
44034,Lochristi,N,Lochristi
44040,Melle,N,Melle
44043,Merelbeke,N,Merelbeke
44045,Moerbeke,N,Moerbeke
44048,Nazareth,N,Nazareth
44052,Oosterzele,N,Oosterzele
44064,Sint-Martens-Latem,N,Sint-Martens-Latem
44073,Wachtebeke,N,Wachtebeke
44081,Zulte,N,Zulte
46000,Arrondissement de Saint-Nicolas,,Arrondissement Sint-Niklaas
46003,Beveren,N,Beveren
46013,Kruibeke,N,Kruibeke
46014,Lokeren,N,Lokeren
46021,Saint-Nicolas,N,Sint-Niklaas
46020,Sint-Gillis-Waas,N,Sint-Gillis-Waas
46024,Stekene,N,Stekene
46025,Tamise,N,Temse
42000,Arrondissement de Termonde,,Arrondissement Dendermonde
42003,Berlare,N,Berlare
42004,Buggenhout,N,Buggenhout
42008,Hamme,N,Hamme
42010,Laarne,N,Laarne
42011,Lebbeke,N,Lebbeke
42006,Termonde,N,Dendermonde
42023,Waasmunster,N,Waasmunster
42025,Wetteren,N,Wetteren
42026,Wichelen,N,Wichelen
42028,Zele,N,Zele
70000,Province du Limbourg,,Provincie Limburg
71000,Arrondissement de Hasselt,,Arrondissement Hasselt
71002,As,N,As
71004,Beringen,N,Beringen
71034,Bourg-Léopold,N,Leopoldsburg
71011,Diepenbeek,N,Diepenbeek
71016,Genk,N,Genk
71017,Gingelom,N,Gingelom
71020,Halen,N,Halen
71069,Ham,N,Ham
71022,Hasselt,N,Hasselt
71024,Herck-la-Ville,N,Herk-de-Stad
71070,Heusden-Zolder,N,Heusden-Zolder
71037,Lummen,N,Lummen
71045,Nieuwerkerken,N,Nieuwerkerken
71053,Saint-Trond,N,Sint-Truiden
71057,Tessenderlo,N,Tessenderlo
71066,Zonhoven,N,Zonhoven
71067,Zutendaal,N,Zutendaal
72000,Arrondissement de Maaseik,,Arrondissement Maaseik
72003,Bocholt,N,Bocholt
72004,Bree,N,Bree
72041,Dilsen-Stokkem,N,Dilsen-Stokkem
72037,Hamont-Achel,N,Hamont-Achel
72038,Hechtel-Eksel,N,Hechtel-Eksel
72039,Houthalen-Helchteren,N,Houthalen-Helchteren
72018,Kinrooi,N,Kinrooi
72020,Lommel,N,Lommel
72021,Maaseik,N,Maaseik
72042,Oudsbergen,N,Oudsbergen
72030,Peer,N,Peer
72043,Pelt,N,Pelt
73000,Arrondissement de Tongres,,Arrondissement Tongeren
73001,Alken,N,Alken
73006,Bilzen,N,Bilzen
73109,Fourons,N,Voeren
73022,Heers,N,Heers
73028,Herstappe,N,Herstappe
73032,Hoeselt,N,Hoeselt
73040,Kortessem,N,Kortessem
73042,Lanaken,N,Lanaken
73009,Looz,N,Borgloon
73107,Maasmechelen,N,Maasmechelen
73066,Riemst,N,Riemst
73083,Tongres,N,Tongeren
73098,Wellen,N,Wellen
3000,RÉGION WALLONNE,,WAALS GEWEST
20002,Province du Brabant Wallon,,Provincie Waals-Brabant
25000,Arrondissement de Nivelles,,Arrondissement Nijvel
25005,Beauvechain,F,Bevekom
25014,Braine-l'Alleud,F,Eigenbrakel
25015,Braine-le-Château,F,Kasteelbrakel
25117,Chastre,F,Chastre
25018,Chaumont-Gistoux,F,Chaumont-Gistoux
25023,Court-Saint-Etienne,F,Court-Saint-Etienne
25031,Genappe,F,Genepien
25037,Grez-Doiceau,F,Graven
25118,Hélécine,F,Hélécine
25043,Incourt,F,Incourt
25044,Ittre,F,Itter
25048,Jodoigne,F,Geldenaken
25050,La Hulpe,F,Terhulpen
25119,Lasne,F,Lasne
25068,Mont-Saint-Guibert,F,Mont-Saint-Guibert
25072,Nivelles,F,Nijvel
25120,Orp-Jauche,F,Orp-Jauche
25121,Ottignies-Louvain-la-Neuve,F,Ottignies-Louvain-la-Neuve
25084,Perwez,F,Perwijs
25122,Ramillies,F,Ramillies
25123,Rebecq,F,Rebecq
25091,Rixensart,F,Rixensart
25105,Tubize,F,Tubeke
25107,Villers-la-Ville,F,Villers-la-Ville
25124,Walhain,F,Walhain
25110,Waterloo,F,Waterloo
25112,Wavre,F,Waver
50000,Province du Hainaut,,Provincie Henegouwen
51000,Arrondissement d'Ath,,Arrondissement Aat
51004,Ath,F,Aat
51008,Beloeil,F,Beloeil
51009,Bernissart,F,Bernissart
51012,Brugelette,F,Brugelette
51014,Chièvres,F,Chièvres
51017,Ellezelles,F,Elzele
51067,Enghien,F,Edingen
51019,Flobecq,F,Vloesberg
51065,Frasnes-lez-Anvaing,F,Frasnes-lez-Anvaing
51069,Lessines,F,Lessen
51068,Silly,F,Opzullik
52000,Arrondissement de Charleroi,,Arrondissement Charleroi
52074,Aiseau-Presles,F,Aiseau-Presles
52010,Chapelle-lez-Herlaimont,F,Chapelle-lez-Herlaimont
52011,Charleroi,F,Charleroi
52012,Châtelet,F,Châtelet
52015,Courcelles,F,Courcelles
52018,Farciennes,F,Farciennes
52021,Fleurus,F,Fleurus
52022,Fontaine-l'Evêque,F,Fontaine-l'Evêque
