NIS5,CASES,FR,NL,POP
38002,119,Alveringem,Alveringem,5047
38008,159,La_Panne,De_Panne,11176
38014,415,Koksijde,Koksijde,21910
38016,252,Nieuport,Nieuwpoort,11621
38025,157,Furnes,Veurne,11903
41002,2690,Alost,Aalst,86445
41011,668,Denderleeuw,Denderleeuw,20338
41018,636,Grammont,Geraardsbergen,33439
41024,575,Haaltert,Haaltert,18633
41027,395,Herzele,Herzele,18027
41034,480,Lede,Lede,18701
41048,1249,Ninove,Ninove,38911
41063,281,Sint_Lievens_Houtem,Sint_Lievens_Houtem,10342
41081,516,Zottegem,Zottegem,26582
41082,622,Erpe_Mere,Erpe_Mere,19811
42003,353,Berlare,Berlare,14958
42004,343,Buggenhout,Buggenhout,14517
42006,1300,Termonde,Dendermonde,45769
42008,637,Hamme,Hamme,24865
42010,314,Laarne,Laarne,12370
42011,530,Lebbeke,Lebbeke,19321
42023,298,Waasmunster,Waasmunster,10801
42025,592,Wetteren,Wetteren,25815
42026,280,Wichelen,Wichelen,11672
42028,637,Zele,Zele,21125
43002,231,Assenede,Assenede,14256
43005,330,Eeklo,Eeklo,21134
43007,83,Kaprijke,Kaprijke,6434
43010,294,Maldegem,Maldegem,23774
43014,68,Sint_Laureins,Sint_Laureins,6783
43018,220,Zelzate,Zelzate,12854
44012,204,De_Pinte,De_Pinte,10683
44013,356,Destelbergen,Destelbergen,18271
44019,686,Evergem,Evergem,35447
44020,271,Gavere,Gavere,12805
44021,5729,Gand,Gent,262219
44034,515,Lochristi,Lochristi,22489
44040,246,Melle,Melle,11736
44043,436,Merelbeke,Merelbeke,24660
44045,180,Moerbeke,Moerbeke,6481
44048,241,Nazareth,Nazareth,11619
44052,229,Oosterzele,Oosterzele,13590
44064,214,Sint_Martens_Latem,Sint_Martens_Latem,8392
44073,220,Wachtebeke,Wachtebeke,7771
44081,464,Zulte,Zulte,15720
44083,883,Deinze,Deinze,43571
44084,620,Aalter,Aalter,28906
44085,518,Lievegem,Lievegem,26162
45035,710,Audenarde,Oudenaarde,31393
45041,916,Renaix,Ronse,26479
45059,334,Brakel,Brakel,14801
45060,149,Kluisbergen,Kluisbergen,6488
45061,146,Wortegem_Petegem,Wortegem_Petegem,6397
45062,40,Horebeke,Horebeke,2036
45063,104,Lierde,Lierde,6616
45064,199,Maarkedal,Maarkedal,6343
45065,164,Zwalm,Zwalm,8148
45068,361,Kruisem,Kruisem,15641
46003,1385,Beveren,Beveren,48668
46013,414,Kruibeke,Kruibeke,16745
46014,1356,Lokeren,Lokeren,41690
46020,674,Sint_Gillis_Waas,Sint_Gillis_Waas,19370
46021,2018,Saint_Nicolas,Sint_Niklaas,77679
46024,466,Stekene,Stekene,18445
46025,905,Tamise,Temse,29926
51004,1323,Ath,Aat,29311
51008,708,Beloeil,Beloeil,14068
51009,485,Bernissart,Bernissart,11859
51012,125,Brugelette,Brugelette,3728
51014,320,Chievres,Chievres,6916
51017,195,Ellezelles,Elzele,5975
51019,129,Flobecq,Vloesberg,3447
51065,584,Frasnes_lez_Anvaing,Frasnes_lez_Anvaing,11814
51067,535,Enghien,Edingen,13817
51068,327,Silly,Opzullik,8324
51069,605,Lessines,Lessen,18656
52010,965,Chapelle_lez_Herlaimont,Chapelle_lez_Herlaimont,14737
52011,8725,Charleroi,Charleroi,202267
52012,1443,Chatelet,Chatelet,35903
52015,1383,Courcelles,Courcelles,31299
52018,379,Farciennes,Farciennes,11316
52021,1001,Fleurus,Fleurus,22918
52022,919,Fontaine_lEveque,Fontaine_lEveque,17806
52025,669,Gerpinnes,Gerpinnes,12716
52048,584,Montigny_le_Tilleul,Montigny_le_Tilleul,10112
52055,748,Pont_a_Celles,Pont_a_Celles,17371
52074,503,Aiseau_Presles,Aiseau_Presles,10743
52075,437,Les_Bons_Villers,Les_Bons_Villers,9451
53014,822,Boussu,Boussu,19824
53020,759,Dour,Dour,16644
53028,1020,Frameries,Frameries,21934
53039,296,Hensies,Hensies,6828
53044,484,Jurbise,Jurbeke,10383
53046,171,Lens,Lens,4525
53053,4459,Mons,Bergen,95613
53065,802,Quaregnon,Quaregnon,19007
53068,209,Quievrain,Quievrain,6822
53070,1056,Saint_Ghislain,Saint_Ghislain,23311
53082,908,Colfontaine,Colfontaine,20811
53083,220,Honnelles,Honnelles,5159
53084,434,Quevy,Quevy,8138
55004,982,Braine_le_Comte,Gravenbrakel,21901
55035,538,Le_Roeulx,Le_Roeulx,8716
55040,1138,Soignies,Zinnik,28016
55050,531,Ecaussinnes,Ecaussinnes,11159
55085,599,Seneffe,Seneffe,11433
55086,1260,Manage,Manage,23308
56001,605,Anderlues,Anderlues,12261
56005,298,Beaumont,Beaumont,7124
56016,321,Chimay,Chimay,9805
56022,360,Erquelinnes,Erquelinnes,10003
56029,113,Froidchapelle,Froidchapelle,3959
56044,357,Lobbes,Lobbes,5832
56049,213,Merbes_le_Chateau,Merbes_le_Chateau,4266
56051,147,Momignies,Momignies,5305
56078,702,Thuin,Thuin,14702
56086,783,Ham_sur_Heure_Nalinnes,Ham_sur_Heure_Nalinnes,13623
56088,198,Sivry_Rance,Sivry_Rance,4798
57003,399,Antoing,Antoing,7687
57018,319,Celles,Celles,5666
57027,599,Estaimpuis,Estaimpuis,10478
57062,480,Pecq,Pecq,5698
57064,971,Peruwelz,Peruwelz,17159
57072,258,Rumes,Rumes,5167
57081,3416,Tournai,Doornik,69370
57093,368,Brunehaut,Brunehaut,8080
57094,701,Leuze_en_Hainaut,Leuze_en_Hainaut,13850
57095,140,Mont_de_lEnclus,Mont_de_lEnclus,3764
57096,3909,Mouscron,Moeskroen,58474
57097,786,Comines_Warneton,Komen_Waasten,18024
58001,4855,La_Louviere,La_Louviere,80757
58002,2134,Binche,Binche,33473
58003,427,Estinnes,Estinnes,7765
58004,1196,Morlanwelz,Morlanwelz,19065
61003,779,Amay,Amay,14412
61010,176,Burdinne,Burdinne,3238
61012,311,Clavier,Clavier,4637
61019,291,Ferrieres,Ferrieres,4935
61024,232,Hamoir,Hamoir,3880
61028,267,Heron,Heron,5375
61031,1147,Huy,Hoei,21227
61039,298,Marchin,Marchin,5469
61041,240,Modave,Modave,4212
61043,425,Nandrin,Nandrin,5753
61048,203,Ouffet,Ouffet,2776
61063,306,Verlaine,Verlaine,4228
61068,447,Villers_Le_Bouillet,Villers_Le_Bouillet,6496
61072,822,Wanze,Wanze,13738
61079,265,Anthisnes,Anthisnes,4189
61080,349,Engis,Engis,6138
61081,194,Tinlot,Tinlot,2706
62003,1791,Ans,Ans,28373
62006,678,Awans,Awans,9318
62009,870,Aywaille,Aywaille,12436
62011,673,Bassenge,Bitsingen,8905
62015,775,Beyne_Heusay,Beyne_Heusay,11929
62022,1443,Chaudfontaine,Chaudfontaine,20800
62026,326,Comblain_au_Pont,Comblain_au_Pont,5404
62027,533,Dalhem,Dalhem,7408
62032,919,Esneux,Esneux,12917
62038,1020,Fleron,Fleron,16526
62051,2910,Herstal,Herstal,39989
62060,731,Juprelle,Juprelle,9295
62063,11507,Liege,Luik,197327
62079,1700,Oupeye,Oupeye,25446
62093,1688,Saint_Nicolas,Saint_Nicolas,24263
62096,3787,Seraing,Seraing,64259
