,DATE,REGION,AGEGROUP,SEX,DEATHS
216,2020-03-28,Flanders,65-74,F,1
217,2020-03-28,Flanders,75-84,M,12
218,2020-03-28,Flanders,75-84,F,19
219,2020-03-28,Flanders,85+,M,13
220,2020-03-28,Flanders,85+,F,15
221,2020-03-28,Brussels,65-74,M,2
222,2020-03-28,Brussels,65-74,F,2
223,2020-03-28,Brussels,75-84,M,2
224,2020-03-28,Brussels,75-84,F,8
225,2020-03-28,Brussels,85+,M,4
226,2020-03-28,Brussels,85+,F,8
227,2020-03-28,Wallonia,45-64,M,1
228,2020-03-28,Wallonia,65-74,M,4
229,2020-03-28,Wallonia,65-74,F,1
230,2020-03-28,Wallonia,75-84,M,8
231,2020-03-28,Wallonia,75-84,F,4
232,2020-03-28,Wallonia,85+,M,12
233,2020-03-28,Wallonia,85+,F,13
234,2020-03-29,Flanders,65-74,M,8
235,2020-03-29,Flanders,65-74,F,5
236,2020-03-29,Flanders,75-84,M,19
237,2020-03-29,Flanders,75-84,F,3
238,2020-03-29,Flanders,85+,M,14
239,2020-03-29,Flanders,85+,F,17
240,2020-03-29,Brussels,25-44,F,1
241,2020-03-29,Brussels,65-74,M,1
242,2020-03-29,Brussels,65-74,F,2
243,2020-03-29,Brussels,75-84,M,4
244,2020-03-29,Brussels,75-84,F,7
245,2020-03-29,Brussels,85+,M,4
246,2020-03-29,Brussels,85+,F,5
247,2020-03-29,Wallonia,45-64,M,1
248,2020-03-29,Wallonia,45-64,F,1
249,2020-03-29,Wallonia,65-74,M,4
250,2020-03-29,Wallonia,65-74,F,5
251,2020-03-29,Wallonia,75-84,M,15
252,2020-03-29,Wallonia,75-84,F,7
253,2020-03-29,Wallonia,85+,M,6
254,2020-03-29,Wallonia,85+,F,20
255,2020-03-30,Flanders,0-24,F,1
256,2020-03-30,Flanders,45-64,M,1
257,2020-03-30,Flanders,45-64,F,2
258,2020-03-30,Flanders,65-74,M,2
259,2020-03-30,Flanders,65-74,F,1
260,2020-03-30,Flanders,75-84,M,14
261,2020-03-30,Flanders,75-84,F,12
