CD_REFNIS,CD_SEX,CD_AGEGROUP,DT_DATE,NR_YEAR,MS_NUM_DEATH
3000,2,45-64,2019-01-01,2019,6
3000,2,45-64,2020-01-01,2020,3
3000,2,65-74,2009-01-01,2009,9
3000,2,65-74,2010-01-01,2010,5
3000,2,65-74,2011-01-01,2011,10
3000,2,65-74,2012-01-01,2012,5
3000,2,65-74,2013-01-01,2013,4
3000,2,65-74,2014-01-01,2014,5
3000,2,65-74,2015-01-01,2015,8
3000,2,65-74,2016-01-01,2016,8
3000,2,65-74,2017-01-01,2017,5
3000,2,65-74,2018-01-01,2018,7
3000,2,65-74,2019-01-01,2019,10
3000,2,65-74,2020-01-01,2020,10
3000,2,75-84,2009-01-01,2009,19
3000,2,75-84,2010-01-01,2010,26
3000,2,75-84,2011-01-01,2011,16
3000,2,75-84,2012-01-01,2012,18
3000,2,75-84,2013-01-01,2013,11
3000,2,75-84,2014-01-01,2014,23
3000,2,75-84,2015-01-01,2015,22
3000,2,75-84,2016-01-01,2016,19
3000,2,75-84,2017-01-01,2017,22
3000,2,75-84,2018-01-01,2018,15
3000,2,75-84,2019-01-01,2019,9
3000,2,75-84,2020-01-01,2020,14
3000,2,85+,2009-01-01,2009,17
3000,2,85+,2010-01-01,2010,34
3000,2,85+,2011-01-01,2011,33
3000,2,85+,2012-01-01,2012,31
3000,2,85+,2013-01-01,2013,35
3000,2,85+,2014-01-01,2014,25
3000,2,85+,2015-01-01,2015,27
3000,2,85+,2016-01-01,2016,21
3000,2,85+,2017-01-01,2017,33
3000,2,85+,2018-01-01,2018,34
3000,2,85+,2019-01-01,2019,25
3000,2,85+,2020-01-01,2020,31
4000,1,0-24,2009-01-01,2009,1
4000,1,0-24,2010-01-01,2010,1
4000,1,0-24,2012-01-01,2012,1
4000,1,0-24,2014-01-01,2014,1
4000,1,25-44,2010-01-01,2010,1
4000,1,25-44,2011-01-01,2011,1
4000,1,25-44,2013-01-01,2013,2
4000,1,25-44,2014-01-01,2014,1
4000,1,25-44,2015-01-01,2015,1
4000,1,25-44,2016-01-01,2016,1
4000,1,45-64,2009-01-01,2009,1
4000,1,45-64,2011-01-01,2011,3
4000,1,45-64,2012-01-01,2012,2
4000,1,45-64,2013-01-01,2013,2
4000,1,45-64,2014-01-01,2014,1
4000,1,45-64,2015-01-01,2015,4
4000,1,45-64,2016-01-01,2016,2
4000,1,45-64,2017-01-01,2017,4
4000,1,45-64,2018-01-01,2018,3
4000,1,45-64,2019-01-01,2019,3
4000,1,45-64,2020-01-01,2020,2
4000,1,65-74,2009-01-01,2009,6
4000,1,65-74,2010-01-01,2010,3
4000,1,65-74,2011-01-01,2011,2
4000,1,65-74,2012-01-01,2012,2
4000,1,65-74,2013-01-01,2013,1
4000,1,65-74,2014-01-01,2014,1
4000,1,65-74,2016-01-01,2016,4
4000,1,65-74,2017-01-01,2017,1
4000,1,65-74,2018-01-01,2018,2
4000,1,65-74,2019-01-01,2019,3
4000,1,65-74,2020-01-01,2020,2
4000,1,75-84,2009-01-01,2009,2
4000,1,75-84,2010-01-01,2010,4
4000,1,75-84,2011-01-01,2011,1
4000,1,75-84,2012-01-01,2012,5
4000,1,75-84,2013-01-01,2013,9
4000,1,75-84,2015-01-01,2015,8
4000,1,75-84,2016-01-01,2016,3
4000,1,75-84,2017-01-01,2017,4
4000,1,75-84,2018-01-01,2018,2
4000,1,75-84,2019-01-01,2019,4
4000,1,85+,2009-01-01,2009,4
4000,1,85+,2010-01-01,2010,6
4000,1,85+,2011-01-01,2011,1
4000,1,85+,2012-01-01,2012,4
4000,1,85+,2013-01-01,2013,1
4000,1,85+,2014-01-01,2014,4
4000,1,85+,2015-01-01,2015,1
4000,1,85+,2016-01-01,2016,2
4000,1,85+,2017-01-01,2017,8
4000,1,85+,2018-01-01,2018,4
4000,1,85+,2019-01-01,2019,6
4000,1,85+,2020-01-01,2020,3
4000,2,0-24,2019-01-01,2019,1
4000,2,25-44,2012-01-01,2012,1
4000,2,25-44,2013-01-01,2013,1
4000,2,25-44,2020-01-01,2020,1
4000,2,45-64,2009-01-01,2009,3
4000,2,45-64,2011-01-01,2011,3
4000,2,45-64,2014-01-01,2014,2
4000,2,45-64,2017-01-01,2017,1
4000,2,45-64,2019-01-01,2019,1
4000,2,65-74,2009-01-01,2009,1
4000,2,65-74,2011-01-01,2011,1
4000,2,65-74,2013-01-01,2013,1
4000,2,65-74,2014-01-01,2014,2
4000,2,65-74,2015-01-01,2015,2
4000,2,65-74,2016-01-01,2016,2
4000,2,65-74,2018-01-01,2018,2
4000,2,65-74,2019-01-01,2019,2
4000,2,65-74,2020-01-01,2020,2
4000,2,75-84,2009-01-01,2009,6
4000,2,75-84,2010-01-01,2010,4
4000,2,75-84,2011-01-01,2011,6
4000,2,75-84,2012-01-01,2012,4
4000,2,75-84,2013-01-01,2013,2
4000,2,75-84,2014-01-01,2014,3
4000,2,75-84,2015-01-01,2015,4
4000,2,75-84,2016-01-01,2016,3
4000,2,75-84,2017-01-01,2017,2
4000,2,75-84,2018-01-01,2018,3
4000,2,75-84,2019-01-01,2019,8
4000,2,75-84,2020-01-01,2020,1
4000,2,85+,2009-01-01,2009,8
4000,2,85+,2010-01-01,2010,12
4000,2,85+,2011-01-01,2011,13
4000,2,85+,2012-01-01,2012,11
4000,2,85+,2013-01-01,2013,14
4000,2,85+,2014-01-01,2014,8
4000,2,85+,2015-01-01,2015,11
4000,2,85+,2016-01-01,2016,7
4000,2,85+,2017-01-01,2017,5
4000,2,85+,2018-01-01,2018,4
4000,2,85+,2019-01-01,2019,10
4000,2,85+,2020-01-01,2020,3
2000,1,0-24,2009-01-02,2009,3
