DATE,REGION,AGEGROUP,SEX,DOSE,COUNT
2021-01-07,,35-44,M,A,8
2021-01-07,,45-54,F,A,16
2021-01-07,,45-54,M,A,2
2021-01-07,,55-64,F,A,5
2021-01-07,,65-74,M,A,3
2021-01-07,,75-84,F,A,2
2021-01-07,,75-84,M,A,2
2021-01-07,,85+,F,A,3
2021-01-07,,85+,M,A,2
2021-01-07,Ostbelgien,35-44,F,A,1
2021-01-07,Ostbelgien,45-54,F,A,1
2021-01-07,Ostbelgien,45-54,M,A,1
2021-01-07,Ostbelgien,55-64,F,A,4
2021-01-07,Ostbelgien,55-64,M,A,1
2021-01-07,Ostbelgien,65-74,F,A,4
2021-01-07,Ostbelgien,75-84,F,A,13
2021-01-07,Ostbelgien,75-84,M,A,1
2021-01-07,Ostbelgien,85+,F,A,14
2021-01-07,Ostbelgien,85+,M,A,7
2021-01-07,Wallonia,0-17,F,A,3
2021-01-07,Wallonia,18-34,F,A,263
2021-01-07,Wallonia,18-34,M,A,100
2021-01-07,Wallonia,35-44,F,A,296
2021-01-07,Wallonia,35-44,M,A,63
2021-01-07,Wallonia,45-54,F,A,334
2021-01-07,Wallonia,45-54,M,A,101
2021-01-07,Wallonia,55-64,F,A,327
2021-01-07,Wallonia,55-64,M,A,161
2021-01-07,Wallonia,65-74,F,A,273
2021-01-07,Wallonia,65-74,M,A,217
2021-01-07,Wallonia,75-84,F,A,649
2021-01-07,Wallonia,75-84,M,A,265
2021-01-07,Wallonia,85+,F,A,1512
2021-01-07,Wallonia,85+,M,A,334
2021-01-08,Brussels,18-34,F,A,29
2021-01-08,Brussels,18-34,M,A,13
2021-01-08,Brussels,35-44,F,A,26
2021-01-08,Brussels,35-44,M,A,3
2021-01-08,Brussels,45-54,F,A,31
2021-01-08,Brussels,45-54,M,A,17
2021-01-08,Brussels,55-64,F,A,75
2021-01-08,Brussels,55-64,M,A,51
2021-01-08,Brussels,65-74,F,A,80
2021-01-08,Brussels,65-74,M,A,69
2021-01-08,Brussels,75-84,F,A,198
2021-01-08,Brussels,75-84,M,A,91
2021-01-08,Brussels,85+,F,A,458
2021-01-08,Brussels,85+,M,A,89
2021-01-08,Flanders,0-17,F,A,1
2021-01-08,Flanders,18-34,F,A,106
2021-01-08,Flanders,18-34,M,A,31
2021-01-08,Flanders,35-44,F,A,145
2021-01-08,Flanders,35-44,M,A,15
2021-01-08,Flanders,45-54,F,A,218
2021-01-08,Flanders,45-54,M,A,42
2021-01-08,Flanders,55-64,F,A,175
2021-01-08,Flanders,55-64,M,A,56
2021-01-08,Flanders,65-74,F,A,105
2021-01-08,Flanders,65-74,M,A,78
2021-01-08,Flanders,75-84,F,A,425
2021-01-08,Flanders,75-84,M,A,171
2021-01-08,Flanders,85+,F,A,1075
2021-01-08,Flanders,85+,M,A,331
2021-01-08,,18-34,F,A,2
2021-01-08,,35-44,F,A,4
2021-01-08,,35-44,M,A,2
2021-01-08,,45-54,F,A,1
2021-01-08,,55-64,F,A,1
2021-01-08,,55-64,M,A,1
2021-01-08,,65-74,F,A,2
2021-01-08,,65-74,M,A,1
2021-01-08,,85+,F,A,3
2021-01-08,Ostbelgien,18-34,F,A,3
2021-01-08,Ostbelgien,18-34,M,A,1
2021-01-08,Ostbelgien,35-44,F,A,2
2021-01-08,Ostbelgien,35-44,M,A,1
2021-01-08,Ostbelgien,45-54,F,A,7
2021-01-08,Ostbelgien,45-54,M,A,2
2021-01-08,Ostbelgien,55-64,F,A,10
2021-01-08,Ostbelgien,55-64,M,A,1
2021-01-08,Ostbelgien,65-74,F,A,1
2021-01-08,Ostbelgien,65-74,M,A,2
2021-01-08,Ostbelgien,75-84,F,A,4
2021-01-08,Ostbelgien,75-84,M,A,2
2021-01-08,Ostbelgien,85+,F,A,13
2021-01-08,Ostbelgien,85+,M,A,3
2021-01-08,Wallonia,0-17,F,A,1
2021-01-08,Wallonia,0-17,M,A,1
2021-01-08,Wallonia,18-34,F,A,310
2021-01-08,Wallonia,18-34,M,A,111
2021-01-08,Wallonia,35-44,F,A,333
2021-01-08,Wallonia,35-44,M,A,106
2021-01-08,Wallonia,45-54,F,A,362
2021-01-08,Wallonia,45-54,M,A,114
2021-01-08,Wallonia,55-64,F,A,344
2021-01-08,Wallonia,55-64,M,A,157
2021-01-08,Wallonia,65-74,F,A,252
2021-01-08,Wallonia,65-74,M,A,239
2021-01-08,Wallonia,75-84,F,A,584
2021-01-08,Wallonia,75-84,M,A,279
2021-01-08,Wallonia,85+,F,A,1355
2021-01-08,Wallonia,85+,M,A,330
2021-01-09,Brussels,55-64,F,A,1
2021-01-09,Brussels,55-64,M,A,1
2021-01-09,Flanders,0-17,F,A,1
2021-01-09,Flanders,18-34,F,A,130
2021-01-09,Flanders,18-34,M,A,23
2021-01-09,Flanders,35-44,F,A,148
2021-01-09,Flanders,35-44,M,A,19
2021-01-09,Flanders,45-54,F,A,173
2021-01-09,Flanders,45-54,M,A,29
2021-01-09,Flanders,55-64,F,A,201
2021-01-09,Flanders,55-64,M,A,55
2021-01-09,Flanders,65-74,F,A,85
2021-01-09,Flanders,65-74,M,A,76
2021-01-09,Flanders,75-84,F,A,456
2021-01-09,Flanders,75-84,M,A,196
2021-01-09,Flanders,85+,F,A,1201
2021-01-09,Flanders,85+,M,A,369
2021-01-09,Wallonia,18-34,F,A,5
2021-01-09,Wallonia,18-34,M,A,1
2021-01-09,Wallonia,35-44,F,A,3
2021-01-09,Wallonia,35-44,M,A,3
2021-01-09,Wallonia,45-54,F,A,3
2021-01-09,Wallonia,45-54,M,A,3
2021-01-09,Wallonia,55-64,F,A,3
2021-01-09,Wallonia,65-74,F,A,2
2021-01-09,Wallonia,65-74,M,A,5
2021-01-09,Wallonia,75-84,M,A,1
2021-01-09,Wallonia,85+,F,A,6
2021-01-09,Wallonia,85+,M,A,2
2021-01-10,Brussels,45-54,F,A,1
2021-01-10,Brussels,45-54,M,A,1
2021-01-10,Brussels,55-64,F,A,1
2021-01-10,Brussels,65-74,F,A,2
2021-01-10,Brussels,75-84,F,A,2
2021-01-10,Brussels,75-84,M,A,2
2021-01-10,Brussels,85+,F,A,2
2021-01-10,Flanders,18-34,F,A,7
2021-01-10,Flanders,18-34,M,A,3
2021-01-10,Flanders,35-44,F,A,4
2021-01-10,Flanders,35-44,M,A,3
2021-01-10,Flanders,45-54,F,A,12
2021-01-10,Flanders,45-54,M,A,3
2021-01-10,Flanders,55-64,F,A,7
2021-01-10,Flanders,55-64,M,A,7
2021-01-10,Flanders,65-74,F,A,8
2021-01-10,Flanders,65-74,M,A,7
2021-01-10,Flanders,75-84,F,A,52
2021-01-10,Flanders,75-84,M,A,20
2021-01-10,Flanders,85+,F,A,171
2021-01-10,Flanders,85+,M,A,44
2021-01-10,Ostbelgien,35-44,F,A,1
2021-01-10,Wallonia,18-34,F,A,3
2021-01-10,Wallonia,35-44,F,A,3
2021-01-10,Wallonia,35-44,M,A,1
2021-01-10,Wallonia,45-54,F,A,11
2021-01-10,Wallonia,45-54,M,A,3
2021-01-10,Wallonia,55-64,F,A,6
2021-01-10,Wallonia,55-64,M,A,1
2021-01-10,Wallonia,65-74,F,A,2
2021-01-10,Wallonia,65-74,M,A,4
2021-01-10,Wallonia,75-84,F,A,1
2021-01-10,Wallonia,75-84,M,A,1
2021-01-10,Wallonia,85+,F,A,1
2021-01-11,Brussels,18-34,F,A,2
2021-01-11,Brussels,35-44,F,A,1
2021-01-11,Brussels,35-44,M,A,1
2021-01-11,Brussels,45-54,F,A,2
2021-01-11,Brussels,55-64,F,A,2
2021-01-11,Brussels,65-74,M,A,1
2021-01-11,Brussels,85+,F,A,1
2021-01-11,Brussels,85+,M,A,1
