Geography;Immigrated after 1980;Number of habitants;% of habitants older than 65;Active population;Unemployed;Foreigners;European Foreigners;Non European Foreigners;Older than 20 with high degree;Married;Registered Partnership;Commuter;Born abroad;Born Europe;Born non-europe;Ratio female male;Self employed;Number of households;One person households;Couple without children;Couple with children;One parent households;Percentage employees;Percentage younger than 15;Ageing percentage;Population density;Average household size;Percentage of population that moved in 2;Percentage of between 15 and 65 years ol;Number of buildings;Percentage of Buildings where owner live;Percentage of Buildings with one housing;Percentage of Buildings built after 2001;Percentage of Buildings built after 1991;Percentage of Buildings built before 191;Employment rate between 15 and 64;Employment rate between 20 and 64;Average age of population; 
24055;0,1335;19158;0,1655;0,7023;0,0332;0,094;0,0679;0,0262;0,3768;0,5451;0,0328;0,3888;0,1129;0,0592;0,0537;101,3876;0,1266;7813;0,2825;0,2779;0,3328;0,0874;0,8623;0,1826;0,2538;555,03;2,43;0,0999;0,6519;7522;0,7579;0,8003;0,1309;0,2772;0,1171;0,679;0,7404;40,736505867; 
24059;0,0655;15462;0,1841;0,7009;0,043;0,0288;0,0171;0,0116;0,255;0,546;0,0324;0,4277;0,0567;0,0242;0,0325;104,605;0,0971;6464;0,2621;0,3175;0,3031;0,0903;0,8916;0,1566;0,2792;286,05;2,38;0,0828;0,6593;6361;0,8103;0,872;0,1052;0,1912;0,2125;0,6708;0,7252;42,542013628; 
24133;0,0393;7100;0,1907;0,7217;0,0318;0,0144;0,009;0,0054;0,2441;0,5879;0,0291;0,276;0,0307;0,0148;0,0159;102,6834;0,1371;2850;0,2239;0,333;0,3344;0,0789;0,8444;0,1534;0,2907;195,19;2,48;0,0656;0,6559;2814;0,8898;0,9659;0,0796;0,205;0,1461;0,6987;0,7568;42,983354116; 
24062;0,2289;97270;0,1602;0,6552;0,0425;0,1578;0,0731;0,0847;0,4992;0,4528;0,0368;0,3065;0,2081;0,0726;0,1355;100,9379;0,1096;48071;0,4877;0,218;0,2001;0,0672;0,8833;0,147;0,2313;1717,58;1,98;0,1578;0,6927;43933;0,5288;0,5479;0,0691;0,176;0,173;0,6273;0,6672;39,746998487; 
24066;0,0588;13889;0,1876;0,6901;0,0223;0,023;0,0169;0,0061;0,4268;0,6089;0,0235;0,2557;0,043;0,0205;0,0225;102,6408;0,1563;5313;0,202;0,3412;0,3559;0,0725;0,8277;0,1615;0,2881;301,07;2,6;0,0761;0,6509;5241;0,8467;0,9162;0,088;0,2338;0,0916;0,6747;0,7415;42,421558307; 
24130;0,0643;8246;0,1911;0,7113;0,0449;0,0187;0,0104;0,0083;0,2375;0,5633;0,0293;0,3704;0,0411;0,0195;0,0216;103,7559;0,1462;3376;0,2479;0,3193;0,3095;0,0877;0,8332;0,1481;0,2892;176,45;2,41;0,0764;0,6608;3302;0,8553;0,914;0,0942;0,2044;0,159;0,6794;0,7311;43,125588367; 
24134;0,0518;22611;0,2041;0,6954;0,042;0,0228;0,0148;0,008;0,238;0,5641;0,0288;0,3728;0,0393;0,0195;0,0198;101,4702;0,1112;9667;0,2674;0,3357;0,2995;0,0722;0,8754;0,1415;0,3119;447,75;2,32;0,0793;0,6544;9512;0,8252;0,9059;0,077;0,1889;0,0854;0,6662;0,7152;43,897714207; 
24086;0,0957;11012;0,1715;0,6967;0,0265;0,0359;0,0227;0,0132;0,5014;0,5678;0,0294;0,2955;0,0633;0,0273;0,036;100,5829;0,1597;4198;0,2215;0,3075;0,3604;0,0805;0,8276;0,1686;0,26;353,64;2,61;0,0746;0,6598;4158;0,8146;0,9134;0,116;0,2357;0,1141;0,6782;0,7512;41,170120864; 
24094;0,0609;15768;0,1677;0,7075;0,0301;0,0236;0,0174;0,0062;0,3812;0,5607;0,0371;0,2986;0,0435;0,0236;0,0199;100,6617;0,1271;6187;0,2382;0,3103;0,352;0,0748;0,862;0,1649;0,2514;419,66;2,53;0,0766;0,6674;6090;0,8552;0,9323;0,1099;0,2568;0,0808;0,6862;0,7578;41,165112911; 
24104;0,2814;21238;0,1724;0,6143;0,035;0,2533;0,2092;0,0441;0,4584;0,5784;0,0253;0,5204;0,2676;0,177;0,0906;105,1981;0,1732;8308;0,2581;0,2719;0,3503;0,0986;0,8168;0,1961;0,2731;645,1;2,54;0,1063;0,6315;8166;0,703;0,8381;0,0748;0,1735;0,1365;0,5929;0,656;40,567263661; 
24135;0,0732;10438;0,1724;0,7332;0,0305;0,0172;0,0098;0,0074;0,3128;0,56;0,0338;0,2397;0,0286;0,0136;0,0149;100,5765;0,1395;4184;0,251;0,3019;0,3401;0,0753;0,8423;0,1602;0,2582;236,38;2,47;0,0694;0,6675;4115;0,859;0,9385;0,1208;0,2572;0,0644;0,7108;0,7673;41,792542391; 
24107;0,087;32799;0,2058;0,69;0,0498;0,0409;0,0193;0,0216;0,2594;0,5075;0,0295;0,2771;0,0747;0,0252;0,0495;107,4704;0,1127;14615;0,3434;0,2896;0,247;0,0917;0,8762;0,1505;0,3197;457,02;2,21;0,1077;0,6437;14114;0,7291;0,7863;0,059;0,1419;0,2416;0,6556;0,7051;43,528258789; 
24109;0,0711;14606;0,1819;0,7028;0,0355;0,0306;0,0237;0,0069;0,2903;0,5559;0,033;0,4174;0,0514;0,0292;0,0223;99,481;0,1376;5794;0,2321;0,3255;0,3381;0,083;0,8501;0,157;0,2752;677,01;2,46;0,0813;0,6611;5752;0,8043;0,9383;0,1408;0,306;0,0414;0,6778;0,7352;42,537166777; 
30000;0,0631;1168002;0,2073;0,6973;0,0433;0,0324;0,0172;0,0153;0,2499;0,5555;0,0295;0,1539;0,0567;0,0257;0,031;102,6356;0,1602;501212;0,3077;0,31;0,2884;0,0737;0,8098;0,1516;0,3234;371,46;2,3;0,0957;0,6411;491629;0,7183;0,7874;0,1019;0,2187;0,1195;0,6671;0,7261;43,133698221; 
31000;0,0685;277889;0,2154;0,698;0,0423;0,0303;0,0178;0,0124;0,2816;0,5398;0,0316;0,1725;0,0553;0,0262;0,0291;103,8669;0,167;121653;0,3207;0,3117;0,271;0,0757;0,8061;0,142;0,3352;420,22;2,24;0,0988;0,6426;119264;0,6883;0,7428;0,0976;0,2165;0,1456;0,6684;0,7256;44,063537663; 
31003;0,0312;15231;0,1827;0,7154;0,0257;0,0131;0,0084;0,0047;0,2514;0,5663;0,0297;0,2295;0,0242;0,0123;0,0118;95,1942;0,1566;5909;0,2339;0,3363;0,3469;0,0658;0,8136;0,1577;0,277;212,5;2,48;0,0893;0,6596;5751;0,7802;0,915;0,1204;0,2458;0,1896;0,697;0,7586;42,095303345; 
31004;0,0985;19114;0,2651;0,6575;0,0903;0,038;0,0234;0,0146;0,1675;0,4831;0,0334;0,1696;0,0655;0,0332;0,0323;107,3327;0,1512;9651;0,4143;0,3059;0,179;0,0808;0,8169;0,1119;0,4256;1097,8;1,95;0,1347;0,6229;9468;0,5664;0,3881;0,1339;0,2519;0,1044;0,5981;0,6397;47,677320434; 
31005;0,0824;117260;0,2129;0,6983;0,0436;0,037;0,0193;0,0177;0,3118;0,5057;0,0348;0,1708;0,0699;0,0291;0,0408;105,8927;0,1373;52300;0,3495;0,294;0,2527;0,0833;0,8437;0,142;0,3301;847,24;2,19;0,1055;0,645;51183;0,6541;0,77;0,0664;0,1549;0,1941;0,6678;0,7237;43,760691593; 
31006;0,0376;10845;0,1907;0,7068;0,0292;0,0166;0,0135;0,0031;0,2521;0,5859;0,0326;0,1788;0,0346;0,0228;0,0118;99,5033;0,2168;4277;0,2301;0,3248;0,3493;0,0706;0,7361;0,1482;0,2884;121,15;2,5;0,075;0,6611;4225;0,8042;0,9437;0,0843;0,2125;0,2028;0,6862;0,7494;43,084496059; 
31012;0,0383;13710;0,1817;0,7085;0,0287;0,0146;0,0093;0,0053;0,3111;0,6085;0,0301;0,141;0,0288;0,016;0,0128;98,4655;0,1855;5374;0,2246;0,3268;0,367;0,0622;0,7835;0,1624;0,277;255;2,52;0,0695;0,6559;5299;0,8367;0,944;0,0987;0,2606;0,1195;0,6882;0,7589;42,028427415; 
31043;0,1094;34034;0,2977;0,6637;0,054;0,0525;0,0379;0,0146;0,2818;0,5453;0,0168;0,2523;0,0813;0,0467;0,0346;109,0669;0,2839;16715;0,3863;0,3252;0,1923;0,0713;0,6767;0,1045;0,498;602,98;2,01;0,1103;0,5978;16430;0,6278;0,4408;0,1453;0,3102;0,0331;0,6279;0,6748;49,615274969; 
31022;0,0365;22560;0,1824;0,7152;0,0283;0,014;0,0083;0,0057;0,279;0,589;0,0363;0,1616;0,0301;0,0151;0,015;101,3567;0,1692;9097;0,2414;0,3326;0,3382;0,0683;0,8026;0,1669;0,2803;283,26;2,46;0,0805;0,6507;8941;0,7669;0,9037;0,1263;0,2508;0,1474;0,6949;0,7601;41,667232532; 
31033;0,0359;19993;0,1947;0,7209;0,0367;0,0177;0,0091;0,0086;0,2613;0,5658;0,0302;0,1158;0,0317;0,0145;0,0172;100,2705;0,1429;8391;0,2796;0,3203;0,3096;0,0696;0,8304;0,1481;0,2963;442;2,34;0,0915;0,6572;8221;0,7413;0,8409;0,1262;0,2701;0,1123;0,6944;0,7521;42,625718766; 
31040;0,031;22375;0,1735;0,7121;0,0307;0,0122;0,0071;0,0051;0,2587;0,6035;0,0355;0,1254;0,0272;0,0139;0,0133;101,1417;0,1579;8813;0,2134;0,3342;0,3676;0,0665;0,8134;0,1666;0,2629;370,84;2,52;0,0803;0,6599;8649;0,7845;0,9279;0,0867;0,2319;0,0906;0,6902;0,7598;41,116064592; 
31042;0,0502;2767;0,1634;0,7284;0,0342;0,0134;0,0087;0,0047;0,297;0,5917;0,0321;0,126;0,0307;0,0163;0,0145;97,5018;0,235;1126;0,2558;0,3304;0,3366;0,0533;0,7161;0,154;0,2393;56,63;2,46;0,0661;0,6827;1097;0,7706;0,9116;0,093;0,2261;0,2634;0,7035;0,764;42,163996727; 
34000;0,0666;283019;0,1928;0,7009;0,0415;0,0395;0,0191;0,0204;0,2633;0,5653;0,0261;0,1828;0,0648;0,025;0,0398;102,7299;0,1484;118286;0,2904;0,3074;0,308;0,0748;0,8301;0,1598;0,2979;702,51;2,36;0,0906;0,6474;116241;0,743;0,8619;0,0841;0,187;0,1285;0,6718;0,7327;42,01579998; 
34002;0,0205;14345;0,1825;0,7258;0,0313;0,0086;0,0052;0,0035;0,2832;0,6163;0,0239;0,2234;0,0165;0,0091;0,0073;100,0139;0,1689;5663;0,2278;0,3247;0,3676;0,0657;0,8038;0,1707;0,2821;343,28;2,51;0,07;0,6468;5608;0,8283;0,9379;0,119;0,2551;0,1295;0,7031;0,7649;41,34577848; 
34003;0,0415;9671;0,1891;0,7073;0,0452;0,0186;0,011;0,0077;0,2222;0,5455;0,0306;0,2803;0,0349;0,0176;0,0174;102,2799;0,1267;4050;0,2921;0,2936;0,3143;0,082;0,8512;0,1581;0,2897;444,68;2,35;0,0859;0,6528;3992;0,7457;0,8893;0,1211;0,2272;0,1302;0,6753;0,7333;41,983282014; 
34022;0,1045;75223;0,2057;0,6775;0,0493;0,0612;0,0225;0,0387;0,3105;0,5245;0,0255;0,1855;0,0985;0,028;0,0705;104,8836;0,1672;32612;0,349;0,2799;0,2659;0,0824;0,8125;0,1565;0,3224;940,05;2,26;0,1033;0,6379;31847;0,6783;0,7966;0,0536;0,1448;0,1685;0,6441;0,7037;42,502119944; 
34009;0,0324;11314;0,1975;0,724;0,0305;0,0163;0,0081;0,0081;0,2664;0,6121;0,0196;0,1581;0,0293;0,0104;0,0189;103,9661;0,1573;4586;0,2462;0,3282;0,3421;0,0663;0,8187;0,1621;0,3083;672,82;2,44;0,0758;0,6404;4489;0,8117;0,9223;0,0724;0,1813;0,0724;0,7019;0,7662;42,036959408; 
34043;0,0753;2126;0,1472;0,7143;0,0531;0,0522;0,0499;0,0024;0,2187;0,5209;0,0225;0,4073;0,0771;0,0677;0,0094;103,8351;0,1511;862;0,2923;0,2239;0,3445;0,1206;0,8156;0,2074;0,2281;197,28;2,47;0,1025;0,6453;845;0,6287;0,9219;0,1659;0,2642;0,1872;0,6764;0,7393;38,362221842; 
34013;0,0524;26819;0,1867;0,7136;0,0358;0,0272;0,0108;0,0164;0,2352;0,5789;0,0326;0,1564;0,0499;0,0147;0,0352;100,1269;0,1304;11365;0,2728;0,3346;0,3051;0,0678;0,8492;0,1513;0,282;920,35;2,35;0,0875;0,662;11244;0,7926;0,8534;0,0999;0,1887;0,0862;0,688;0,7439;42,071988518; 
34023;0,0638;12986;0,2;0,7067;0,0347;0,0366;0,0153;0,0214;0,237;0,5926;0,0294;0,1427;0,0597;0,0172;0,0425;102,7162;0,1368;5375;0,2672;0,3287;0,3241;0,0646;0,8415;0,1556;0,3103;1297,52;2,38;0,0831;0,6445;5283;0,762;0,8554;0,0803;0,188;0,1087;0,6822;0,7418;42,545310768; 
34025;0,0281;5653;0,2048;0,7256;0,0292;0,0119;0,006;0,0058;0,2495;0,5965;0,0319;0,1057;0,023;0,0083;0,0147;101,3894;0,1744;2312;0,2522;0,3339;0,3486;0,0558;0,7963;0,1608;0,3229;429,88;2,41;0,0785;0,6344;2291;0,8155;0,9136;0,1165;0,2292;0,1056;0,7044;0,7602;42,583643926; 
34027;0,1058;32964;0,1957;0,6845;0,0565;0,0845;0,0557;0,0288;0,1848;0,5398;0,0223;0,1719;0,1175;0,0699;0,0476;103,7204;0,128;13906;0,3076;0,3016;0,2832;0,0882;0,8511;0,1673;0,3073;996,77;2,31;0,1069;0,637;13737;0,699;0,8925;0,0725;0,1573;0,1616;0,6458;0,7054;42,034089038; 
34040;0,0523;36658;0,1835;0,706;0,0391;0,0269;0,0132;0,0137;0,2773;0,5833;0,0252;0,2405;0,051;0,0164;0,0346;102,4521;0,1539;15104;0,2682;0,3141;0,3281;0,0704;0,8246;0,155;0,2774;826,68;2,41;0,0888;0,6615;14808;0,7429;0,8377;0,1122;0,2386;0,0868;0,6784;0,7422;41,827043122; 
