from,to,tunnel,volume
2020-03-26 06:00:00,2020-03-26 07:00:00,Tun Del - Centre,573
2020-03-26 07:00:00,2020-03-26 08:00:00,Tun Del - Centre,644
2020-03-26 08:00:00,2020-03-26 09:00:00,Tun Del - Centre,672
2020-03-26 09:00:00,2020-03-26 10:00:00,Tun Del - Centre,499
2020-03-26 10:00:00,2020-03-26 11:00:00,Tun Del - Centre,454
2020-03-26 11:00:00,2020-03-26 12:00:00,Tun Del - Centre,497
2020-03-26 12:00:00,2020-03-26 13:00:00,Tun Del - Centre,458
2020-03-26 13:00:00,2020-03-26 14:00:00,Tun Del - Centre,431
2020-03-26 14:00:00,2020-03-26 15:00:00,Tun Del - Centre,438
2020-03-26 15:00:00,2020-03-26 16:00:00,Tun Del - Centre,404
2020-03-26 16:00:00,2020-03-26 17:00:00,Tun Del - Centre,463
2020-03-26 17:00:00,2020-03-26 18:00:00,Tun Del - Centre,538
2020-03-26 18:00:00,2020-03-26 19:00:00,Tun Del - Centre,477
2020-03-26 19:00:00,2020-03-26 20:00:00,Tun Del - Centre,356
2020-03-26 20:00:00,2020-03-26 21:00:00,Tun Del - Centre,201
2020-03-26 21:00:00,2020-03-26 22:00:00,Tun Del - Centre,88
2020-03-26 22:00:00,2020-03-26 23:00:00,Tun Del - Centre,67
2020-03-26 23:00:00,2020-03-27 00:00:00,Tun Del - Centre,30
2020-03-27 00:00:00,2020-03-27 01:00:00,Tun Del - Centre,23
2020-03-27 01:00:00,2020-03-27 02:00:00,Tun Del - Centre,15
2020-03-27 02:00:00,2020-03-27 03:00:00,Tun Del - Centre,7
2020-03-27 03:00:00,2020-03-27 04:00:00,Tun Del - Centre,6
2020-03-27 04:00:00,2020-03-27 05:00:00,Tun Del - Centre,24
2020-03-27 05:00:00,2020-03-27 06:00:00,Tun Del - Centre,186
2020-03-27 06:00:00,2020-03-27 07:00:00,Tun Del - Centre,511
2020-03-27 07:00:00,2020-03-27 08:00:00,Tun Del - Centre,625
2020-03-27 08:00:00,2020-03-27 09:00:00,Tun Del - Centre,611
2020-03-27 09:00:00,2020-03-27 10:00:00,Tun Del - Centre,488
2020-03-27 10:00:00,2020-03-27 11:00:00,Tun Del - Centre,437
2020-03-27 11:00:00,2020-03-27 12:00:00,Tun Del - Centre,496
2020-03-27 12:00:00,2020-03-27 13:00:00,Tun Del - Centre,506
2020-03-27 13:00:00,2020-03-27 14:00:00,Tun Del - Centre,506
2020-03-27 14:00:00,2020-03-27 15:00:00,Tun Del - Centre,473
2020-03-27 15:00:00,2020-03-27 16:00:00,Tun Del - Centre,486
2020-03-27 16:00:00,2020-03-27 17:00:00,Tun Del - Centre,503
2020-03-27 17:00:00,2020-03-27 18:00:00,Tun Del - Centre,562
2020-03-27 18:00:00,2020-03-27 19:00:00,Tun Del - Centre,547
2020-03-27 19:00:00,2020-03-27 20:00:00,Tun Del - Centre,427
2020-03-27 20:00:00,2020-03-27 21:00:00,Tun Del - Centre,263
2020-03-27 21:00:00,2020-03-27 22:00:00,Tun Del - Centre,97
2020-03-27 22:00:00,2020-03-27 23:00:00,Tun Del - Centre,69
2020-03-27 23:00:00,2020-03-28 00:00:00,Tun Del - Centre,35
2020-03-28 00:00:00,2020-03-28 01:00:00,Tun Del - Centre,32
2020-03-28 01:00:00,2020-03-28 02:00:00,Tun Del - Centre,12
2020-03-28 02:00:00,2020-03-28 03:00:00,Tun Del - Centre,15
2020-03-28 03:00:00,2020-03-28 04:00:00,Tun Del - Centre,7
2020-03-28 04:00:00,2020-03-28 05:00:00,Tun Del - Centre,19
2020-03-28 05:00:00,2020-03-28 06:00:00,Tun Del - Centre,71
2020-03-28 06:00:00,2020-03-28 07:00:00,Tun Del - Centre,176
2020-03-28 07:00:00,2020-03-28 08:00:00,Tun Del - Centre,129
2020-03-28 08:00:00,2020-03-28 09:00:00,Tun Del - Centre,153
2020-03-28 09:00:00,2020-03-28 10:00:00,Tun Del - Centre,220
2020-03-28 10:00:00,2020-03-28 11:00:00,Tun Del - Centre,243
2020-03-28 11:00:00,2020-03-28 12:00:00,Tun Del - Centre,326
2020-03-28 12:00:00,2020-03-28 13:00:00,Tun Del - Centre,359
2020-03-28 13:00:00,2020-03-28 14:00:00,Tun Del - Centre,298
2020-03-28 14:00:00,2020-03-28 15:00:00,Tun Del - Centre,338
2020-03-28 15:00:00,2020-03-28 16:00:00,Tun Del - Centre,331
2020-03-28 16:00:00,2020-03-28 17:00:00,Tun Del - Centre,315
2020-03-28 17:00:00,2020-03-28 18:00:00,Tun Del - Centre,330
2020-03-28 18:00:00,2020-03-28 19:00:00,Tun Del - Centre,381
2020-03-28 19:00:00,2020-03-28 20:00:00,Tun Del - Centre,263
2020-03-28 20:00:00,2020-03-28 21:00:00,Tun Del - Centre,190
2020-03-28 21:00:00,2020-03-28 22:00:00,Tun Del - Centre,61
2020-03-28 22:00:00,2020-03-28 23:00:00,Tun Del - Centre,45
2020-03-28 23:00:00,2020-03-29 00:00:00,Tun Del - Centre,41
2020-03-29 00:00:00,2020-03-29 01:00:00,Tun Del - Centre,25
2020-03-29 01:00:00,2020-03-29 03:00:00,Tun Del - Centre,12
2020-03-29 03:00:00,2020-03-29 04:00:00,Tun Del - Centre,3
2020-03-29 04:00:00,2020-03-29 05:00:00,Tun Del - Centre,8
2020-03-29 05:00:00,2020-03-29 06:00:00,Tun Del - Centre,58
2020-03-29 06:00:00,2020-03-29 07:00:00,Tun Del - Centre,153
2020-03-29 07:00:00,2020-03-29 08:00:00,Tun Del - Centre,71
2020-03-29 08:00:00,2020-03-29 09:00:00,Tun Del - Centre,70
2020-03-29 09:00:00,2020-03-29 10:00:00,Tun Del - Centre,76
2020-03-29 10:00:00,2020-03-29 11:00:00,Tun Del - Centre,99
2020-03-29 11:00:00,2020-03-29 12:00:00,Tun Del - Centre,171
2020-03-29 12:00:00,2020-03-29 13:00:00,Tun Del - Centre,169
2020-03-29 13:00:00,2020-03-29 14:00:00,Tun Del - Centre,187
2020-03-29 14:00:00,2020-03-29 15:00:00,Tun Del - Centre,187
2020-03-29 15:00:00,2020-03-29 16:00:00,Tun Del - Centre,209
2020-03-29 16:00:00,2020-03-29 17:00:00,Tun Del - Centre,187
2020-03-29 17:00:00,2020-03-29 18:00:00,Tun Del - Centre,215
2020-03-29 18:00:00,2020-03-29 19:00:00,Tun Del - Centre,230
2020-03-29 19:00:00,2020-03-29 20:00:00,Tun Del - Centre,181
2020-03-29 20:00:00,2020-03-29 21:00:00,Tun Del - Centre,136
2020-03-29 21:00:00,2020-03-29 22:00:00,Tun Del - Centre,81
2020-03-29 22:00:00,2020-03-29 23:00:00,Tun Del - Centre,63
2020-03-29 23:00:00,2020-03-30 00:00:00,Tun Del - Centre,30
2020-03-30 00:00:00,2020-03-30 01:00:00,Tun Del - Centre,25
2020-03-30 01:00:00,2020-03-30 02:00:00,Tun Del - Centre,8
2020-03-30 02:00:00,2020-03-30 03:00:00,Tun Del - Centre,7
2020-03-30 03:00:00,2020-03-30 04:00:00,Tun Del - Centre,4
2020-03-30 04:00:00,2020-03-30 05:00:00,Tun Del - Centre,28
2020-03-30 05:00:00,2020-03-30 06:00:00,Tun Del - Centre,188
2020-03-30 06:00:00,2020-03-30 07:00:00,Tun Del - Centre,553
2020-03-30 07:00:00,2020-03-30 08:00:00,Tun Del - Centre,656
2020-03-30 08:00:00,2020-03-30 09:00:00,Tun Del - Centre,707
2020-03-30 09:00:00,2020-03-30 10:00:00,Tun Del - Centre,460
2020-03-30 10:00:00,2020-03-30 11:00:00,Tun Del - Centre,380
2020-03-30 11:00:00,2020-03-30 12:00:00,Tun Del - Centre,421
2020-03-30 12:00:00,2020-03-30 13:00:00,Tun Del - Centre,381
2020-03-30 13:00:00,2020-03-30 14:00:00,Tun Del - Centre,443
2020-03-30 14:00:00,2020-03-30 15:00:00,Tun Del - Centre,369
2020-03-30 15:00:00,2020-03-30 16:00:00,Tun Del - Centre,381
2020-03-30 16:00:00,2020-03-30 17:00:00,Tun Del - Centre,441
2020-03-30 17:00:00,2020-03-30 18:00:00,Tun Del - Centre,506
2020-03-30 18:00:00,2020-03-30 19:00:00,Tun Del - Centre,475
2020-03-30 19:00:00,2020-03-30 20:00:00,Tun Del - Centre,332
2020-03-30 20:00:00,2020-03-30 21:00:00,Tun Del - Centre,230
2020-03-30 21:00:00,2020-03-30 22:00:00,Tun Del - Centre,97
2020-03-30 22:00:00,2020-03-30 23:00:00,Tun Del - Centre,66
2020-03-30 23:00:00,2020-03-31 00:00:00,Tun Del - Centre,21
2020-03-31 00:00:00,2020-03-31 01:00:00,Tun Del - Centre,20
2020-03-31 01:00:00,2020-03-31 02:00:00,Tun Del - Centre,10
2020-03-31 02:00:00,2020-03-31 03:00:00,Tun Del - Centre,8
2020-03-31 03:00:00,2020-03-31 04:00:00,Tun Del - Centre,8
2020-03-31 04:00:00,2020-03-31 05:00:00,Tun Del - Centre,27
2020-03-31 05:00:00,2020-03-31 06:00:00,Tun Del - Centre,189
2020-03-31 06:00:00,2020-03-31 07:00:00,Tun Del - Centre,518
2020-03-31 07:00:00,2020-03-31 08:00:00,Tun Del - Centre,620
2020-03-31 08:00:00,2020-03-31 09:00:00,Tun Del - Centre,701
2020-03-31 09:00:00,2020-03-31 10:00:00,Tun Del - Centre,474
2020-03-31 10:00:00,2020-03-31 11:00:00,Tun Del - Centre,435
2020-03-31 11:00:00,2020-03-31 12:00:00,Tun Del - Centre,458
2020-03-31 12:00:00,2020-03-31 13:00:00,Tun Del - Centre,381
2020-03-31 13:00:00,2020-03-31 14:00:00,Tun Del - Centre,429
2020-03-31 14:00:00,2020-03-31 15:00:00,Tun Del - Centre,425
2020-03-31 15:00:00,2020-03-31 16:00:00,Tun Del - Centre,414
2020-03-31 16:00:00,2020-03-31 17:00:00,Tun Del - Centre,467
2020-03-31 17:00:00,2020-03-31 18:00:00,Tun Del - Centre,561
2020-03-31 18:00:00,2020-03-31 19:00:00,Tun Del - Centre,445
2020-03-31 19:00:00,2020-03-31 20:00:00,Tun Del - Centre,347
2020-03-31 20:00:00,2020-03-31 21:00:00,Tun Del - Centre,271
2020-03-31 21:00:00,2020-03-31 22:00:00,Tun Del - Centre,98
2020-03-31 22:00:00,2020-03-31 23:00:00,Tun Del - Centre,71
2020-03-31 23:00:00,2020-04-01 00:00:00,Tun Del - Centre,26
2020-03-01 00:00:00,2020-03-01 01:00:00,Tun Hal - Midi,631
2020-03-01 01:00:00,2020-03-01 02:00:00,Tun Hal - Midi,531
2020-03-01 02:00:00,2020-03-01 03:00:00,Tun Hal - Midi,422
2020-03-01 03:00:00,2020-03-01 04:00:00,Tun Hal - Midi,327
2020-03-01 04:00:00,2020-03-01 05:00:00,Tun Hal - Midi,289
2020-03-01 05:00:00,2020-03-01 06:00:00,Tun Hal - Midi,263
2020-03-01 06:00:00,2020-03-01 07:00:00,Tun Hal - Midi,348
2020-03-01 07:00:00,2020-03-01 08:00:00,Tun Hal - Midi,436
2020-03-01 08:00:00,2020-03-01 09:00:00,Tun Hal - Midi,532
2020-03-01 09:00:00,2020-03-01 10:00:00,Tun Hal - Midi,620
2020-03-01 10:00:00,2020-03-01 11:00:00,Tun Hal - Midi,759
2020-03-01 11:00:00,2020-03-01 12:00:00,Tun Hal - Midi,743
2020-03-01 12:00:00,2020-03-01 13:00:00,Tun Hal - Midi,861
2020-03-01 13:00:00,2020-03-01 14:00:00,Tun Hal - Midi,893
2020-03-01 14:00:00,2020-03-01 15:00:00,Tun Hal - Midi,956
2020-03-01 15:00:00,2020-03-01 16:00:00,Tun Hal - Midi,1063
2020-03-01 16:00:00,2020-03-01 17:00:00,Tun Hal - Midi,1097
2020-03-01 17:00:00,2020-03-01 18:00:00,Tun Hal - Midi,1086
2020-03-01 18:00:00,2020-03-01 19:00:00,Tun Hal - Midi,1101
2020-03-01 19:00:00,2020-03-01 20:00:00,Tun Hal - Midi,1004
2020-03-01 20:00:00,2020-03-01 21:00:00,Tun Hal - Midi,863
2020-03-01 21:00:00,2020-03-01 22:00:00,Tun Hal - Midi,770
2020-03-01 22:00:00,2020-03-01 23:00:00,Tun Hal - Midi,580
2020-03-01 23:00:00,2020-03-02 00:00:00,Tun Hal - Midi,494
2020-03-02 00:00:00,2020-03-02 01:00:00,Tun Hal - Midi,307
2020-03-02 01:00:00,2020-03-02 02:00:00,Tun Hal - Midi,180
2020-03-02 02:00:00,2020-03-02 03:00:00,Tun Hal - Midi,117
2020-03-02 03:00:00,2020-03-02 04:00:00,Tun Hal - Midi,119
2020-03-02 04:00:00,2020-03-02 05:00:00,Tun Hal - Midi,146
2020-03-02 05:00:00,2020-03-02 06:00:00,Tun Hal - Midi,453
2020-03-02 06:00:00,2020-03-02 07:00:00,Tun Hal - Midi,847
2020-03-02 07:00:00,2020-03-02 08:00:00,Tun Hal - Midi,981
2020-03-02 08:00:00,2020-03-02 09:00:00,Tun Hal - Midi,926
2020-03-02 09:00:00,2020-03-02 10:00:00,Tun Hal - Midi,898
2020-03-02 10:00:00,2020-03-02 11:00:00,Tun Hal - Midi,1106
2020-03-02 11:00:00,2020-03-02 12:00:00,Tun Hal - Midi,1037
2020-03-02 12:00:00,2020-03-02 13:00:00,Tun Hal - Midi,1085
2020-03-02 13:00:00,2020-03-02 14:00:00,Tun Hal - Midi,1073
2020-03-02 14:00:00,2020-03-02 15:00:00,Tun Hal - Midi,1135
2020-03-02 15:00:00,2020-03-02 16:00:00,Tun Hal - Midi,1164
2020-03-02 16:00:00,2020-03-02 17:00:00,Tun Hal - Midi,1121
2020-03-02 17:00:00,2020-03-02 18:00:00,Tun Hal - Midi,725
2020-03-02 18:00:00,2020-03-02 19:00:00,Tun Hal - Midi,848
2020-03-02 19:00:00,2020-03-02 20:00:00,Tun Hal - Midi,1050
2020-03-02 20:00:00,2020-03-02 21:00:00,Tun Hal - Midi,860
2020-03-02 21:00:00,2020-03-02 22:00:00,Tun Hal - Midi,749
2020-03-02 22:00:00,2020-03-02 23:00:00,Tun Hal - Midi,663
2020-03-02 23:00:00,2020-03-03 00:00:00,Tun Hal - Midi,436
2020-03-03 00:00:00,2020-03-03 01:00:00,Tun Hal - Midi,266
2020-03-03 01:00:00,2020-03-03 02:00:00,Tun Hal - Midi,176
2020-03-03 02:00:00,2020-03-03 03:00:00,Tun Hal - Midi,123
2020-03-03 03:00:00,2020-03-03 04:00:00,Tun Hal - Midi,136
2020-03-03 04:00:00,2020-03-03 05:00:00,Tun Hal - Midi,167
2020-03-03 05:00:00,2020-03-03 06:00:00,Tun Hal - Midi,411
2020-03-03 06:00:00,2020-03-03 07:00:00,Tun Hal - Midi,729
2020-03-03 07:00:00,2020-03-03 08:00:00,Tun Hal - Midi,972
2020-03-03 08:00:00,2020-03-03 09:00:00,Tun Hal - Midi,991
2020-03-03 09:00:00,2020-03-03 10:00:00,Tun Hal - Midi,920
2020-03-03 10:00:00,2020-03-03 11:00:00,Tun Hal - Midi,1020
2020-03-03 11:00:00,2020-03-03 12:00:00,Tun Hal - Midi,1077
2020-03-03 12:00:00,2020-03-03 13:00:00,Tun Hal - Midi,1153
2020-03-03 13:00:00,2020-03-03 14:00:00,Tun Hal - Midi,1081
2020-03-03 14:00:00,2020-03-03 15:00:00,Tun Hal - Midi,1110
2020-03-03 15:00:00,2020-03-03 16:00:00,Tun Hal - Midi,1187
2020-03-03 16:00:00,2020-03-03 17:00:00,Tun Hal - Midi,1127
2020-03-03 17:00:00,2020-03-03 18:00:00,Tun Hal - Midi,1089
2020-03-03 18:00:00,2020-03-03 19:00:00,Tun Hal - Midi,889
2020-03-03 19:00:00,2020-03-03 20:00:00,Tun Hal - Midi,1024
2020-03-03 20:00:00,2020-03-03 21:00:00,Tun Hal - Midi,979
2020-03-03 21:00:00,2020-03-03 22:00:00,Tun Hal - Midi,787
2020-03-03 22:00:00,2020-03-03 23:00:00,Tun Hal - Midi,711
2020-03-03 23:00:00,2020-03-04 00:00:00,Tun Hal - Midi,570
2020-03-04 00:00:00,2020-03-04 01:00:00,Tun Hal - Midi,276
2020-03-04 01:00:00,2020-03-04 02:00:00,Tun Hal - Midi,191
2020-03-04 02:00:00,2020-03-04 03:00:00,Tun Hal - Midi,129
2020-03-04 03:00:00,2020-03-04 04:00:00,Tun Hal - Midi,113
2020-03-04 04:00:00,2020-03-04 05:00:00,Tun Hal - Midi,139
2020-03-04 05:00:00,2020-03-04 06:00:00,Tun Hal - Midi,429
2020-03-04 06:00:00,2020-03-04 07:00:00,Tun Hal - Midi,696
2020-03-04 07:00:00,2020-03-04 08:00:00,Tun Hal - Midi,922
2020-03-04 08:00:00,2020-03-04 09:00:00,Tun Hal - Midi,945
2020-03-04 09:00:00,2020-03-04 10:00:00,Tun Hal - Midi,889
2020-03-04 10:00:00,2020-03-04 11:00:00,Tun Hal - Midi,1056
2020-03-04 11:00:00,2020-03-04 12:00:00,Tun Hal - Midi,1022
2020-03-04 12:00:00,2020-03-04 13:00:00,Tun Hal - Midi,1085
2020-03-04 13:00:00,2020-03-04 14:00:00,Tun Hal - Midi,1136
2020-03-04 14:00:00,2020-03-04 15:00:00,Tun Hal - Midi,1166
2020-03-04 15:00:00,2020-03-04 16:00:00,Tun Hal - Midi,1247
2020-03-04 16:00:00,2020-03-04 17:00:00,Tun Hal - Midi,1223
2020-03-04 17:00:00,2020-03-04 18:00:00,Tun Hal - Midi,1163
2020-03-04 18:00:00,2020-03-04 19:00:00,Tun Hal - Midi,1143
2020-03-04 19:00:00,2020-03-04 20:00:00,Tun Hal - Midi,1039
2020-03-04 20:00:00,2020-03-04 21:00:00,Tun Hal - Midi,924
2020-03-04 21:00:00,2020-03-04 22:00:00,Tun Hal - Midi,773
2020-03-04 22:00:00,2020-03-04 23:00:00,Tun Hal - Midi,753
2020-03-04 23:00:00,2020-03-05 00:00:00,Tun Hal - Midi,577
2020-03-05 00:00:00,2020-03-05 01:00:00,Tun Hal - Midi,319
2020-03-05 01:00:00,2020-03-05 02:00:00,Tun Hal - Midi,198
2020-03-05 02:00:00,2020-03-05 03:00:00,Tun Hal - Midi,139
2020-03-05 03:00:00,2020-03-05 04:00:00,Tun Hal - Midi,126
2020-03-05 04:00:00,2020-03-05 05:00:00,Tun Hal - Midi,151
2020-03-05 05:00:00,2020-03-05 06:00:00,Tun Hal - Midi,444
2020-03-05 06:00:00,2020-03-05 07:00:00,Tun Hal - Midi,771
2020-03-05 07:00:00,2020-03-05 08:00:00,Tun Hal - Midi,968
2020-03-05 08:00:00,2020-03-05 09:00:00,Tun Hal - Midi,897
2020-03-05 09:00:00,2020-03-05 10:00:00,Tun Hal - Midi,904
2020-03-05 10:00:00,2020-03-05 11:00:00,Tun Hal - Midi,1062
2020-03-05 11:00:00,2020-03-05 12:00:00,Tun Hal - Midi,1083
2020-03-05 12:00:00,2020-03-05 13:00:00,Tun Hal - Midi,1239
2020-03-05 13:00:00,2020-03-05 14:00:00,Tun Hal - Midi,1097
2020-03-05 14:00:00,2020-03-05 15:00:00,Tun Hal - Midi,1183
2020-03-05 15:00:00,2020-03-05 16:00:00,Tun Hal - Midi,1223
2020-03-05 16:00:00,2020-03-05 17:00:00,Tun Hal - Midi,623
2020-03-05 17:00:00,2020-03-05 18:00:00,Tun Hal - Midi,426
2020-03-05 18:00:00,2020-03-05 19:00:00,Tun Hal - Midi,0
2020-03-05 19:00:00,2020-03-05 20:00:00,Tun Hal - Midi,185
2020-03-05 20:00:00,2020-03-05 21:00:00,Tun Hal - Midi,920
2020-03-05 21:00:00,2020-03-05 22:00:00,Tun Hal - Midi,923
2020-03-05 22:00:00,2020-03-05 23:00:00,Tun Hal - Midi,891
2020-03-05 23:00:00,2020-03-06 00:00:00,Tun Hal - Midi,606
2020-03-06 00:00:00,2020-03-06 01:00:00,Tun Hal - Midi,372
2020-03-06 01:00:00,2020-03-06 02:00:00,Tun Hal - Midi,252
2020-03-06 02:00:00,2020-03-06 03:00:00,Tun Hal - Midi,163
2020-03-06 03:00:00,2020-03-06 04:00:00,Tun Hal - Midi,149
2020-03-06 04:00:00,2020-03-06 05:00:00,Tun Hal - Midi,177
2020-03-06 05:00:00,2020-03-06 06:00:00,Tun Hal - Midi,439
2020-03-06 06:00:00,2020-03-06 07:00:00,Tun Hal - Midi,714
2020-03-06 07:00:00,2020-03-06 08:00:00,Tun Hal - Midi,966
2020-03-06 08:00:00,2020-03-06 09:00:00,Tun Hal - Midi,960
2020-03-06 09:00:00,2020-03-06 10:00:00,Tun Hal - Midi,958
2020-03-06 10:00:00,2020-03-06 11:00:00,Tun Hal - Midi,1067
2020-03-06 11:00:00,2020-03-06 12:00:00,Tun Hal - Midi,1171
2020-03-06 12:00:00,2020-03-06 13:00:00,Tun Hal - Midi,1178
2020-03-06 13:00:00,2020-03-06 14:00:00,Tun Hal - Midi,1138
2020-03-06 14:00:00,2020-03-06 15:00:00,Tun Hal - Midi,1208
2020-03-06 15:00:00,2020-03-06 16:00:00,Tun Hal - Midi,1131
2020-03-06 16:00:00,2020-03-06 17:00:00,Tun Hal - Midi,1133
2020-03-06 17:00:00,2020-03-06 18:00:00,Tun Hal - Midi,1168
2020-03-06 18:00:00,2020-03-06 19:00:00,Tun Hal - Midi,1204
2020-03-06 19:00:00,2020-03-06 20:00:00,Tun Hal - Midi,1095
2020-03-06 20:00:00,2020-03-06 21:00:00,Tun Hal - Midi,1095
2020-03-06 21:00:00,2020-03-06 22:00:00,Tun Hal - Midi,925
2020-03-06 22:00:00,2020-03-06 23:00:00,Tun Hal - Midi,834
2020-03-06 23:00:00,2020-03-07 00:00:00,Tun Hal - Midi,723
2020-03-07 00:00:00,2020-03-07 01:00:00,Tun Hal - Midi,603
2020-03-07 01:00:00,2020-03-07 02:00:00,Tun Hal - Midi,434
2020-03-07 02:00:00,2020-03-07 03:00:00,Tun Hal - Midi,362
2020-03-07 03:00:00,2020-03-07 04:00:00,Tun Hal - Midi,300
2020-03-07 04:00:00,2020-03-07 05:00:00,Tun Hal - Midi,275
2020-03-07 05:00:00,2020-03-07 06:00:00,Tun Hal - Midi,378
2020-03-07 06:00:00,2020-03-07 07:00:00,Tun Hal - Midi,474
2020-03-07 07:00:00,2020-03-07 08:00:00,Tun Hal - Midi,719
2020-03-07 08:00:00,2020-03-07 09:00:00,Tun Hal - Midi,799
2020-03-07 09:00:00,2020-03-07 10:00:00,Tun Hal - Midi,908
2020-03-07 10:00:00,2020-03-07 11:00:00,Tun Hal - Midi,986
2020-03-07 11:00:00,2020-03-07 12:00:00,Tun Hal - Midi,1229
2020-03-07 12:00:00,2020-03-07 13:00:00,Tun Hal - Midi,1285
2020-03-07 13:00:00,2020-03-07 14:00:00,Tun Hal - Midi,1170
2020-03-07 14:00:00,2020-03-07 15:00:00,Tun Hal - Midi,1112
2020-03-07 15:00:00,2020-03-07 16:00:00,Tun Hal - Midi,1183
2020-03-07 16:00:00,2020-03-07 17:00:00,Tun Hal - Midi,1159
2020-03-07 17:00:00,2020-03-07 18:00:00,Tun Hal - Midi,1228
2020-03-07 18:00:00,2020-03-07 19:00:00,Tun Hal - Midi,1275
2020-03-07 19:00:00,2020-03-07 20:00:00,Tun Hal - Midi,1153
2020-03-07 20:00:00,2020-03-07 21:00:00,Tun Hal - Midi,927
2020-03-07 21:00:00,2020-03-07 22:00:00,Tun Hal - Midi,876
2020-03-07 22:00:00,2020-03-07 23:00:00,Tun Hal - Midi,871
2020-03-07 23:00:00,2020-03-08 00:00:00,Tun Hal - Midi,799
2020-03-08 00:00:00,2020-03-08 01:00:00,Tun Hal - Midi,711
2020-03-08 01:00:00,2020-03-08 02:00:00,Tun Hal - Midi,581
2020-03-08 02:00:00,2020-03-08 03:00:00,Tun Hal - Midi,421
2020-03-08 03:00:00,2020-03-08 04:00:00,Tun Hal - Midi,363
2020-03-08 04:00:00,2020-03-08 05:00:00,Tun Hal - Midi,273
2020-03-08 05:00:00,2020-03-08 06:00:00,Tun Hal - Midi,379
2020-03-08 06:00:00,2020-03-08 07:00:00,Tun Hal - Midi,324
2020-03-08 07:00:00,2020-03-08 08:00:00,Tun Hal - Midi,443
2020-03-08 08:00:00,2020-03-08 09:00:00,Tun Hal - Midi,518
2020-03-08 09:00:00,2020-03-08 10:00:00,Tun Hal - Midi,676
2020-03-08 10:00:00,2020-03-08 11:00:00,Tun Hal - Midi,770
2020-03-08 11:00:00,2020-03-08 12:00:00,Tun Hal - Midi,747
2020-03-08 12:00:00,2020-03-08 13:00:00,Tun Hal - Midi,780
2020-03-08 13:00:00,2020-03-08 14:00:00,Tun Hal - Midi,831
2020-03-08 14:00:00,2020-03-08 15:00:00,Tun Hal - Midi,945
2020-03-08 15:00:00,2020-03-08 16:00:00,Tun Hal - Midi,1017
2020-03-08 16:00:00,2020-03-08 17:00:00,Tun Hal - Midi,1033
2020-03-08 17:00:00,2020-03-08 18:00:00,Tun Hal - Midi,1081
2020-03-08 18:00:00,2020-03-08 19:00:00,Tun Hal - Midi,1081
2020-03-08 19:00:00,2020-03-08 20:00:00,Tun Hal - Midi,992
2020-03-08 20:00:00,2020-03-08 21:00:00,Tun Hal - Midi,855
2020-03-08 21:00:00,2020-03-08 22:00:00,Tun Hal - Midi,766
2020-03-08 22:00:00,2020-03-08 23:00:00,Tun Hal - Midi,685
2020-03-08 23:00:00,2020-03-09 00:00:00,Tun Hal - Midi,466
2020-03-09 00:00:00,2020-03-09 01:00:00,Tun Hal - Midi,269
2020-03-09 01:00:00,2020-03-09 02:00:00,Tun Hal - Midi,187
2020-03-09 02:00:00,2020-03-09 03:00:00,Tun Hal - Midi,139
2020-03-09 03:00:00,2020-03-09 04:00:00,Tun Hal - Midi,121
2020-03-09 04:00:00,2020-03-09 05:00:00,Tun Hal - Midi,142
2020-03-09 05:00:00,2020-03-09 06:00:00,Tun Hal - Midi,490
2020-03-09 06:00:00,2020-03-09 07:00:00,Tun Hal - Midi,805
2020-03-09 07:00:00,2020-03-09 08:00:00,Tun Hal - Midi,1019
2020-03-09 08:00:00,2020-03-09 09:00:00,Tun Hal - Midi,1007
2020-03-09 09:00:00,2020-03-09 10:00:00,Tun Hal - Midi,942
2020-03-09 10:00:00,2020-03-09 11:00:00,Tun Hal - Midi,1029
2020-03-09 11:00:00,2020-03-09 12:00:00,Tun Hal - Midi,1079
2020-03-09 12:00:00,2020-03-09 13:00:00,Tun Hal - Midi,1074
2020-03-09 13:00:00,2020-03-09 14:00:00,Tun Hal - Midi,1084
2020-03-09 14:00:00,2020-03-09 15:00:00,Tun Hal - Midi,1021
2020-03-09 15:00:00,2020-03-09 16:00:00,Tun Hal - Midi,1190
2020-03-09 16:00:00,2020-03-09 17:00:00,Tun Hal - Midi,1040
2020-03-09 17:00:00,2020-03-09 18:00:00,Tun Hal - Midi,1114
2020-03-09 18:00:00,2020-03-09 19:00:00,Tun Hal - Midi,1193
2020-03-09 19:00:00,2020-03-09 20:00:00,Tun Hal - Midi,1021
2020-03-09 20:00:00,2020-03-09 21:00:00,Tun Hal - Midi,841
2020-03-09 21:00:00,2020-03-09 22:00:00,Tun Hal - Midi,766
2020-03-09 22:00:00,2020-03-09 23:00:00,Tun Hal - Midi,648
2020-03-09 23:00:00,2020-03-10 00:00:00,Tun Hal - Midi,459
2020-03-10 00:00:00,2020-03-10 01:00:00,Tun Hal - Midi,267
2020-03-10 01:00:00,2020-03-10 02:00:00,Tun Hal - Midi,222
2020-03-10 02:00:00,2020-03-10 03:00:00,Tun Hal - Midi,122
2020-03-10 03:00:00,2020-03-10 04:00:00,Tun Hal - Midi,101
2020-03-10 04:00:00,2020-03-10 05:00:00,Tun Hal - Midi,154
2020-03-10 05:00:00,2020-03-10 06:00:00,Tun Hal - Midi,426
2020-03-10 06:00:00,2020-03-10 07:00:00,Tun Hal - Midi,655
