,NIS5,WEEK,name,CASES,POP,CASES_PER_1000HABITANT
5201,23039,1,Kapelle-op-den-Bos,10,,
5149,23038,1,Kampenhout,6,,
5096,23033,1,Hoeilaart,11,,
5669,23077,1,Sint-Pieters-Leeuw,36,,
5044,23032,1,Herne,5,,
1901,12025,1,Malines,76,,
6408,23105,1,Affligem,6,,
7599,24104,1,Tervuren,14,,
7547,24094,1,Rotselaar,6,,
7494,24086,1,Oud-Heverlee,3,,
7441,24066,1,Lubbeek,2,,
7388,24062,1,Louvain,98,,
7335,24059,1,Landen,10,,
7282,24055,1,Kortenberg,6,,
7232,24054,1,Kortenaken,4,,
7179,24048,1,Keerbergen,3,,
7126,24045,1,Huldenberg,11,,
7074,24043,1,Holsbeek,6,,
6355,23104,1,Lennik,6,,
7023,24041,1,Hoegaarden,4,,
6970,24038,1,Herent,7,,
6917,24033,1,Haacht,4,,
6871,24028,1,Geetbets,10,,
6818,24020,1,Diest,5,,
6768,24016,1,Boutersem,3,,
6715,24014,1,Boortmeerbeek,4,,
6663,24011,1,Bierbeek,5,,
6611,24009,1,Bertem,4,,
6566,24008,1,Bekkevoort,10,,
6513,24007,1,Begijnendijk,3,,
6461,24001,1,Aarschot,11,,
1848,12021,1,Lierre,100,,
2007,12029,1,Putte,11,,
4991,23027,1,Hal (Hal-Vilvorde),35,,
4938,23025,1,Grimbergen,12,,
3421,13044,1,Vorselaar,1,,
3368,13040,1,Turnhout,36,,
3317,13037,1,Rijkevorsel,17,,
3264,13036,1,Retie,4,,
3211,13035,1,Ravels,9,,
3158,13031,1,Oud-Turnhout,5,,
3105,13029,1,Olen,2,,
2165,12041,1,Puurs-Sint-Amands,5,,
3052,13025,1,Mol,11,,
2999,13023,1,Merksplas,6,,
2947,13021,1,Meerhout,3,,
3472,13046,1,Vosselaar,6,,
2895,13019,1,Lille,4,,
2789,13016,1,Hulshout,4,,
2736,13014,1,Hoogstraten,66,,
2683,13013,1,Herselt,9,,
2631,13012,1,Herenthout,2,,
2578,13011,1,Herentals,6,,
2527,13010,1,Grobbendonk,9,,
2474,13008,1,Geel,22,,
2424,13006,1,Dessel,25,,
2218,13001,1,Arendonk,11,,
2371,13004,1,Beerse,11,,
2318,13003,1,Balen,6,,
2842,13017,1,Kasterlee,10,,
3524,13049,1,Westerlo,12,,
3576,13053,1,Laakdal,6,,
3628,21001,1,Anderlecht,146,,
4885,23024,1,Gooik,14,,
4834,23023,1,Gammerages,2,,
4781,23016,1,Dilbeek,51,,
4688,23003,1,Beersel,26,,
4635,23002,1,Asse,53,,
4582,21019,1,Woluwe-Saint-Pierre,71,,
4529,21018,1,Woluwe-Saint-Lambert,96,,
4476,21017,1,Watermael-Boitsfort,35,,
4423,21016,1,Uccle,145,,
2059,12035,1,Sint-Katelijne-Waver,18,,
4370,21015,1,Schaerbeek,174,,
4317,21014,1,Saint-Josse-ten-Noode,37,,
4264,21013,1,Saint-Gilles,98,,
4211,21012,1,Molenbeek-Saint-Jean,102,,
4158,21011,1,Koekelberg,17,,
4105,21010,1,Jette,71,,
4052,21009,1,Ixelles,212,,
3999,21008,1,Ganshoren,34,,
3946,21007,1,Forest (Bruxelles-Capitale),90,,
3893,21006,1,Evere,38,,
3840,21005,1,Etterbeek,128,,
3787,21004,1,Bruxelles,349,,
3734,21003,1,Berchem-Sainte-Agathe,34,,
2112,12040,1,Willebroek,13,,
3681,21002,1,Auderghem,46,,
1795,12014,1,Heist-op-den-Berg,44,,
7652,24107,1,Tirlemont,17,,
7705,24109,1,Tremelo,3,,
7756,24130,1,L̩au,4,,
11733,36010,1,Ledegem,7,,
11680,36008,1,Izegem,42,,
11628,36007,1,Ingelmunster,21,,
11575,36006,1,Hooglede,6,,
1479,11056,1,Zwijndrecht,23,,
11523,35029,1,De Haan,9,,
11471,35014,1,Oudenburg,5,,
11418,35013,1,Ostende,56,,
11366,35011,1,Middelkerke,20,,
11314,35006,1,Ichtegem,18,,
11261,35005,1,Gistel,6,,
11786,36011,1,Lichtervelde,4,,
11208,35002,1,Bredene,7,,
11113,34042,1,Zwevegem,40,,
11060,34041,1,Wevelgem,47,,
11007,34040,1,Waregem,80,,
10954,34027,1,Menin,31,,
10903,34025,1,Lendelede,3,,
1532,11057,1,Malle,29,,
