NIS5,AgeGroup,COUNT
25121,45-54,3787
25121,55-64,3961
25121,65-74,3079
25121,75-84,1759
25121,85+,822
25122,0-17,1466
25122,18-34,1331
25122,35-44,868
25122,45-54,933
25122,55-64,866
25122,65-74,610
25122,75-84,311
25122,85+,163
25123,0-17,2453
25123,18-34,2033
25123,35-44,1510
25123,45-54,1569
25123,55-64,1491
25123,65-74,1128
25123,75-84,529
25123,85+,221
25124,0-17,1761
25124,18-34,1506
25124,35-44,1009
25124,45-54,1033
25124,55-64,918
25124,65-74,642
25124,75-84,316
25124,85+,174
31003,0-17,2954
31003,18-34,3000
31003,35-44,2034
31003,45-54,2107
31003,55-64,2339
