NIS5,CASES,RANGE,FR,NL
37020,15,15-60,Ardooie,Ardooie
38002,5,5-20,Alveringem,Alveringem
38008,7,7-28,La_Panne,De_Panne
38014,17,17-53,Koksijde,Koksijde
38016,5,5-20,Nieuport,Nieuwpoort
38025,8,8-32,Furnes,Veurne
41002,116,116-155,Alost,Aalst
41011,20,20-50,Denderleeuw,Denderleeuw
41018,36,36-72,Grammont,Geraardsbergen
41024,31,31-73,Haaltert,Haaltert
41027,10,10-40,Herzele,Herzele
41034,12,12-48,Lede,Lede
41048,59,59-92,Ninove,Ninove
41063,5,5-20,Sint_Lievens_Houtem,Sint_Lievens_Houtem
41081,24,24-54,Zottegem,Zottegem
41082,16,16-49,Erpe_Mere,Erpe_Mere
42003,8,8-32,Berlare,Berlare
42004,10,10-40,Buggenhout,Buggenhout
42006,40,40-94,Termonde,Dendermonde
42008,19,19-61,Hamme,Hamme
42010,14,14-56,Laarne,Laarne
42011,13,13-52,Lebbeke,Lebbeke
42023,10,10-40,Waasmunster,Waasmunster
42025,42,42-90,Wetteren,Wetteren
42026,39,39-84,Wichelen,Wichelen
42028,10,10-40,Zele,Zele
43002,19,19-37,Assenede,Assenede
43005,11,11-44,Eeklo,Eeklo
43007,4,4-16,Kaprijke,Kaprijke
43010,12,12-48,Maldegem,Maldegem
43014,3,3-12,Sint_Laureins,Sint_Laureins
43018,3,3-12,Zelzate,Zelzate
44084,24,24-69,Aalter,Aalter
44083,29,29-71,Deinze,Deinze
44012,7,7-28,De_Pinte,De_Pinte
44013,14,14-56,Destelbergen,Destelbergen
44019,29,29-68,Evergem,Evergem
44020,11,11-44,Gavere,Gavere
44021,261,261-291,Gand,Gent
44034,14,14-56,Lochristi,Lochristi
44040,11,11-44,Melle,Melle
44043,25,25-70,Merelbeke,Merelbeke
44045,5,5-20,Moerbeke,Moerbeke
44048,6,6-24,Nazareth,Nazareth
44052,13,13-52,Oosterzele,Oosterzele
44064,15,15-60,Sint_Martens_Latem,Sint_Martens_Latem
44085,44,44-74,Lievegem,Lievegem
44073,16,16-43,Wachtebeke,Wachtebeke
44081,13,13-52,Zulte,Zulte
45068,10,10-40,Kruisem,Kruisem
45035,33,33-78,Audenarde,Oudenaarde
45041,64,64-85,Renaix,Ronse
45059,9,9-36,Brakel,Brakel
45060,7,7-28,Kluisbergen,Kluisbergen
45061,2,2-8,Wortegem_Petegem,Wortegem_Petegem
45062,4,4-16,Horebeke,Horebeke
45063,7,7-28,Lierde,Lierde
45064,8,8-32,Maarkedal,Maarkedal
45065,6,6-24,Zwalm,Zwalm
46003,32,32-74,Beveren,Beveren
46013,14,14-56,Kruibeke,Kruibeke
46014,57,57-108,Lokeren,Lokeren
46020,17,17-68,Sint_Gillis_Waas,Sint_Gillis_Waas
46021,98,98-131,Saint_Nicolas,Sint_Niklaas
46024,23,23-62,Stekene,Stekene
46025,42,42-78,Tamise,Temse
51004,18,18-57,Ath,Aat
51008,12,12-48,Beloeil,Beloeil
51009,9,9-36,Bernissart,Bernissart
51012,7,7-28,Brugelette,Brugelette
51014,4,4-16,Chievres,Chievres
51017,6,6-24,Ellezelles,Elzele
51019,8,8-32,Flobecq,Vloesberg
51065,6,6-24,Frasnes_lez_Anvaing,Frasnes_lez_Anvaing
52010,7,7-28,Chapelle_lez_Herlaimont,Chapelle_lez_Herlaimont
52011,70,70-124,Charleroi,Charleroi
52012,12,12-48,Chatelet,Chatelet
52015,16,16-64,Courcelles,Courcelles
52018,2,2-8,Farciennes,Farciennes
52021,9,9-36,Fleurus,Fleurus
52022,11,11-44,Fontaine_lEveque,Fontaine_lEveque
52025,8,8-32,Gerpinnes,Gerpinnes
55086,16,16-49,Manage,Manage
52048,5,5-20,Montigny_le_Tilleul,Montigny_le_Tilleul
52055,11,11-44,Pont_a_Celles,Pont_a_Celles
55085,6,6-24,Seneffe,Seneffe
52074,5,5-20,Aiseau_Presles,Aiseau_Presles
52075,7,7-28,Les_Bons_Villers,Les_Bons_Villers
53014,41,41-89,Boussu,Boussu
53020,36,36-84,Dour,Dour
53028,39,39-93,Frameries,Frameries
53039,13,13-52,Hensies,Hensies
53044,10,10-40,Jurbise,Jurbeke
53046,7,7-28,Lens,Lens
53053,295,295-313,Mons,Bergen
53065,36,36-84,Quaregnon,Quaregnon
53068,11,11-44,Quievrain,Quievrain
53070,42,42-87,Saint_Ghislain,Saint_Ghislain
53082,34,34-91,Colfontaine,Colfontaine
53083,11,11-44,Honnelles,Honnelles
53084,20,20-65,Quevy,Quevy
57096,28,28-88,Mouscron,Moeskroen
57097,31,31-88,Comines_Warneton,Komen_Waasten
55004,10,10-40,Braine_le_Comte,Gravenbrakel
51067,10,10-40,Enghien,Edingen
58001,92,92-134,La_Louviere,La_Louviere
51069,12,12-48,Lessines,Lessen
55035,10,10-40,Le_Roeulx,Le_Roeulx
51068,6,6-24,Silly,Opzullik
55040,39,39-81,Soignies,Zinnik
55050,9,9-36,Ecaussinnes,Ecaussinnes
56001,5,5-20,Anderlues,Anderlues
56005,1,1-4,Beaumont,Beaumont
58002,19,19-52,Binche,Binche
56016,5,5-20,Chimay,Chimay
56022,6,6-24,Erquelinnes,Erquelinnes
56029,1,1-4,Froidchapelle,Froidchapelle
56044,8,8-32,Lobbes,Lobbes
56049,4,4-16,Merbes_le_Chateau,Merbes_le_Chateau
56051,2,2-8,Momignies,Momignies
56078,11,11-44,Thuin,Thuin
58003,15,15-60,Estinnes,Estinnes
56086,2,2-8,Ham_sur_Heure_Nalinnes,Ham_sur_Heure_Nalinnes
58004,13,13-52,Morlanwelz,Morlanwelz
56088,2,2-8,Sivry_Rance,Sivry_Rance
57003,1,1-4,Antoing,Antoing
57018,3,3-12,Celles,Celles
57027,3,3-12,Estaimpuis,Estaimpuis
57062,3,3-12,Pecq,Pecq
57064,9,9-36,Peruwelz,Peruwelz
57072,4,4-16,Rumes,Rumes
57081,46,46-97,Tournai,Doornik
57093,1,1-4,Brunehaut,Brunehaut
57094,7,7-28,Leuze_en_Hainaut,Leuze_en_Hainaut
57095,2,2-8,Mont_de_lEnclus,Mont_de_lEnclus
61003,8,8-32,Amay,Amay
61010,2,2-8,Burdinne,Burdinne
61012,4,4-16,Clavier,Clavier
61019,8,8-32,Ferrieres,Ferrieres
61024,3,3-12,Hamoir,Hamoir
61028,4,4-16,Heron,Heron
61031,23,23-56,Huy,Hoei
61039,9,9-36,Marchin,Marchin
61041,4,4-16,Modave,Modave
61043,11,11-44,Nandrin,Nandrin
61048,4,4-16,Ouffet,Ouffet
61063,5,5-20,Verlaine,Verlaine
61068,5,5-20,Villers_Le_Bouillet,Villers_Le_Bouillet
61072,12,12-48,Wanze,Wanze
61079,5,5-20,Anthisnes,Anthisnes
61080,5,5-20,Engis,Engis
61081,3,3-12,Tinlot,Tinlot
62003,12,12-48,Ans,Ans
62006,13,13-52,Awans,Awans
62009,10,10-40,Aywaille,Aywaille
62011,5,5-20,Bassenge,Bitsingen
62015,14,14-56,Beyne_Heusay,Beyne_Heusay
62022,33,33-87,Chaudfontaine,Chaudfontaine
62026,9,9-36,Comblain_au_Pont,Comblain_au_Pont
62027,5,5-20,Dalhem,Dalhem
62032,21,21-63,Esneux,Esneux
62038,14,14-56,Fleron,Fleron
62051,50,50-101,Herstal,Herstal
62060,7,7-28,Juprelle,Juprelle
62063,294,294-318,Liege,Luik
62079,16,16-64,Oupeye,Oupeye
62093,15,15-60,Saint_Nicolas,Saint_Nicolas
62096,112,112-151,Seraing,Seraing
62099,14,14-56,Soumagne,Soumagne
62100,15,15-60,Sprimont,Sprimont
62108,14,14-56,Vise,Wezet
62118,25,25-64,Grace_Hollogne,Grace_Hollogne
62119,15,15-60,Blegny,Blegny
62120,56,56-95,Flemalle,Flemalle
62121,13,13-52,Neupre,Neupre
62122,9,9-36,Trooz,Trooz
63001,8,8-32,Ambleve,Amel
63003,3,3-12,Aubel,Aubel
63004,5,5-20,Baelen,Baelen
63012,5,5-20,Bullange,Bullingen
63013,6,6-24,Butgenbach,Butgenbach
63020,7,7-28,Dison,Dison
63023,8,8-32,Eupen,Eupen
63035,18,18-72,Herve,Herve
63038,8,8-32,Jalhay,Jalhay
63040,9,9-36,La_Calamine,Kelmis
63045,6,6-24,Lierneux,Lierneux
63046,7,7-28,Limbourg,Limburg
63048,2,2-8,Lontzen,Lontzen
63049,15,15-60,Malmedy,Malmedy
63057,3,3-12,Olne,Olne
63058,4,4-16,Pepinster,Pepinster
63061,6,6-24,Raeren,Raeren
63067,9,9-36,Saint_Vith,Sankt_Vith
63072,6,6-24,Spa,Spa
63073,6,6-24,Stavelot,Stavelot
63075,1,1-4,Stoumont,Stoumont
63076,10,10-40,Theux,Theux
63079,44,44-92,Verviers,Verviers
63080,3,3-12,Waimes,Weismes
63084,4,4-16,Welkenraedt,Welkenraedt
63086,0,0-0,Trois_Ponts,Trois_Ponts
63087,3,3-12,Burg_Reuland,Burg_Reuland
63088,8,8-32,Plombieres,Plombieres
63089,6,6-24,Thimister_Clermont,Thimister_Clermont
64008,2,2-8,Berloz,Berloz
64015,4,4-16,Braives,Braives
64021,4,4-16,Crisnee,Crisnee
64023,2,2-8,Donceel,Donceel
64025,1,1-4,Fexhe_le_Haut_Clocher,Fexhe_le_Haut_Clocher
64029,3,3-12,Geer,Geer
64034,11,11-44,Hannut,Hannuit
64047,4,4-16,Lincent,Lijsem
64056,2,2-8,Oreye,Oerle
64063,5,5-20,Remicourt,Remicourt
64065,4,4-16,Saint_Georges_sur_Meuse,Saint_Georges_sur_Meuse
64074,9,9-36,Waremme,Borgworm
64075,4,4-16,Wasseiges,Wasseiges
64076,1,1-4,Faimes,Faimes
71002,12,12-48,As,As
71004,69,69-117,Beringen,Beringen
71011,40,40-85,Diepenbeek,Diepenbeek
71016,211,211-232,Genk,Genk
71017,24,24-57,Gingelom,Gingelom
71020,21,21-66,Halen,Halen
71022,205,205-235,Hasselt,Hasselt
71024,25,25-67,Herck_la_Ville,Herk_de_Stad
71034,11,11-44,Bourg_Leopold,Leopoldsburg
71037,20,20-65,Lummen,Lummen
71045,10,10-40,Nieuwerkerken,Nieuwerkerken
71053,193,193-229,Saint_Trond,Sint_Truiden
71057,18,18-54,Tessenderlo,Tessenderlo
71066,42,42-90,Zonhoven,Zonhoven
71067,6,6-24,Zutendaal,Zutendaal
71069,13,13-52,Ham,Ham
71070,58,58-94,Heusden_Zolder,Heusden_Zolder
72003,13,13-52,Bocholt,Bocholt
72004,23,23-77,Bree,Bree
72018,12,12-48,Kinrooi,Kinrooi
72020,24,24-78,Lommel,Lommel
72021,38,38-74,Maaseik,Maaseik
72043,31,31-70,Pelt,Pelt
72030,10,10-40,Peer,Peer
72037,12,12-33,Hamont_Achel,Hamont_Achel
72038,9,9-36,Hechtel_Eksel,Hechtel_Eksel
72039,32,32-80,Houthalen_Helchteren,Houthalen_Helchteren
72042,25,25-67,Oudsbergen,Oudsbergen
72041,20,20-65,Dilsen_Stokkem,Dilsen_Stokkem
73001,57,57-105,Alken,Alken
73006,48,48-90,Bilzen,Bilzen
73009,21,21-69,Looz,Borgloon
73022,13,13-52,Heers,Heers
73028,0,0-0,Herstappe,Herstappe
73032,8,8-32,Hoeselt,Hoeselt
73040,10,10-40,Kortessem,Kortessem
73042,78,78-117,Lanaken,Lanaken
73066,19,19-61,Riemst,Riemst
73083,45,45-75,Tongres,Tongeren
73098,21,21-51,Wellen,Wellen
73107,32,32-77,Maasmechelen,Maasmechelen
73109,3,3-12,Fourons,Voeren
81001,14,14-41,Arlon,Aarlen
81003,4,4-16,Attert,Attert
81004,5,5-20,Aubange,Aubange
81013,1,1-4,Martelange,Martelange
81015,4,4-16,Messancy,Messancy
82003,10,10-40,Bastogne,Bastenaken
82005,2,2-8,Bertogne,Bertogne
82009,4,4-16,Fauvillers,Fauvillers
82014,5,5-20,Houffalize,Houffalize
82032,24,24-51,Vielsalm,Vielsalm
82036,7,7-28,Vaux_sur_Sure,Vaux_sur_Sure
82037,7,7-28,Gouvy,Gouvy
82038,3,3-12,Sainte_Ode,Sainte_Ode
83012,5,5-20,Durbuy,Durbuy
83013,1,1-4,Erezee,Erezee
83028,12,12-48,Hotton,Hotton
83031,3,3-12,La_Roche_en_Ardenne,La_Roche_en_Ardenne
83034,29,29-62,Marche_en_Famenne,Marche_en_Famenne
83040,2,2-8,Nassogne,Nassogne
83044,3,3-12,Rendeux,Rendeux
83049,5,5-20,Tenneville,Tenneville
83055,9,9-36,Manhay,Manhay
84009,14,14-41,Bertrix,Bertrix
84010,22,22-34,Bouillon,Bouillon
84016,3,3-12,Daverdisse,Daverdisse
84029,1,1-4,Herbeumont,Herbeumont
84033,7,7-28,Leglise,Leglise
84035,2,2-8,Libin,Libin
84043,17,17-50,Neufchateau,Neufchateau
84050,9,9-36,Paliseul,Paliseul
84059,6,6-24,Saint_Hubert,Saint_Hubert
84068,1,1-4,Tellin,Tellin
84075,3,3-12,Wellin,Wellin
84077,13,13-37,Libramont_Chevigny,Libramont_Chevigny
85007,2,2-8,Chiny,Chiny
85009,2,2-8,Etalle,Etalle
85011,0,0-0,Florenville,Florenville
85024,1,1-4,Meix_devant_Virton,Meix_devant_Virton
85026,5,5-20,Musson,Musson
85034,2,2-8,Saint_Leger,Saint_Leger
85039,2,2-8,Tintigny,Tintigny
85045,12,12-30,Virton,Virton
85046,5,5-20,Habay,Habay
85047,8,8-17,Rouvroy,Rouvroy
91005,6,6-24,Anhee,Anhee
91013,7,7-28,Beauraing,Beauraing
91015,4,4-16,Bievre,Bievre
91030,12,12-48,Ciney,Ciney
91034,3,3-12,Dinant,Dinant
