,Date,Age,Location
298,2020-01-24,77,Melle
299,2020-01-24,94,Neeroeteren
300,2020-01-24,87,Veldwezelt
301,2020-01-24,52,Helchteren
302,2020-01-24,67,Peer
303,2020-01-24,80,Zolder
304,2020-01-24,73,Ellezelles
305,2020-01-24,90,Marquain
306,2020-01-24,88,Baronville
307,2020-01-24,58,Lamain
308,2020-01-24,99,Tournai
309,2020-01-24,79,Aubel
310,2020-01-24,53,Turnhout
311,2020-01-24,87,Rumillies
312,2020-01-24,89,Zonhoven
313,2020-01-24,89,Huy
314,2020-01-24,87,Lavoir
315,2020-01-24,46,Dilbeek
316,2020-01-24,96,Borgloon
317,2020-01-24,56,Henri-Chapelle
318,2020-01-24,86,Stokkem
319,2020-01-24,66,Neeroeteren
320,2020-01-24,92,Bertrix
321,2020-01-24,79,Ouffet
322,2020-01-24,79,Thumaide
323,2020-01-24,23,Leuven
324,2020-01-24,81,Diepenbeek
325,2020-01-24,63,Meeuwen
326,2020-01-24,78,Mopertingen
327,2020-01-24,76,Jollain-Merlin
328,2020-01-24,70,Dilsen-Stokkem
329,2020-01-24,89,Tielen
330,2020-01-24,93,Stabroek
331,2020-01-24,66,Pottes
332,2020-01-24,84,Guigoven
333,2020-01-24,67,Pelt
334,2020-01-24,92,Wijer
335,2020-01-24,70,Tournai
336,2020-01-23,55,Beez
337,2020-01-23,84,Neerpelt
338,2020-01-23,85,Zonhoven
339,2020-01-23,76,Nettinne
340,2020-01-23,74,Sorinnes
341,2020-01-23,83,Heks
342,2020-01-23,83,Vaux-Sur-Sûre
343,2020-01-23,74,Opglabbeek
344,2020-01-23,90,Brugge
345,2020-01-23,86,Mariakerke
346,2020-01-23,89,Mouscron
347,2020-01-23,73,Verviers
348,2020-01-23,67,Tournai
349,2020-01-23,86,Auvelais
350,2020-01-23,76,Mesnil-Saint-Blaise
351,2020-01-23,87,-
352,2020-01-23,72,Westrozebeke
353,2020-01-23,89,Namur
354,2020-01-23,93,Wilrijk
355,2020-01-23,74,Merchtem
356,2020-01-23,83,Ciney
357,2020-01-23,94,Peer
358,2020-01-23,87,Overpelt
359,2020-01-23,97,Hoeselt
360,2020-01-23,98,Frasnes-Lez-Buissenal
361,2020-01-23,85,Flawinne
362,2020-01-23,66,Lambermont
363,2020-01-23,92,Jambes
364,2020-01-23,93,Kinshasa
365,2020-01-23,88,Kozen
366,2020-01-23,92,Bertrix
367,2020-01-23,87,Beverst
368,2020-01-23,85,Wellen
369,2020-01-23,93,Brasschaat
370,2020-01-23,68,Namur
371,2020-01-23,98,Flobecq
372,2020-01-23,98,Watermael-Boitsfort
373,2020-01-23,63,Bocholt
374,2020-01-23,67,Bilzen
375,2020-01-22,107,Onze-Lieve-Vrouw-Waver
376,2020-01-22,67,Estaimpuis
377,2020-01-22,86,Lessines
378,2020-01-22,90,Maaseik
379,2020-01-22,92,Ensival
380,2020-01-22,55,Coutisse
381,2020-01-22,93,Wichelen
382,2020-01-22,96,Berchem
383,2020-01-22,92,Mourcourt
384,2020-01-22,62,Vielsalm
385,2020-01-22,85,Velaines
386,2020-01-22,93,Watermael-Boitsfort
387,2020-01-22,81,Genk
388,2020-01-22,88,Gruitrode
389,2020-01-22,43,-
390,2020-01-22,78,Zwevegem
391,2020-01-22,55,Tournai
392,2020-01-22,76,Lesve
393,2020-01-22,84,Heusy
394,2020-01-22,100,Wodecq
395,2020-01-22,84,Gembloux
396,2020-01-22,79,Beverst
397,2020-01-22,19,Heverlee
398,2020-01-22,95,Jupille-Sur-Meuse
399,2020-01-22,81,Verviers
400,2020-01-22,88,Nieuwpoort
401,2020-01-22,89,Genk
402,2020-01-22,96,Florenville
403,2020-01-22,94,Bertrix
404,2020-01-22,92,Houffalize
405,2020-01-22,102,Beverst
406,2020-01-22,62,Gellik
407,2020-01-22,76,Oudsbergen
408,2020-01-22,86,Villers-Le-Bouillet
409,2020-01-22,86,Berbroek
410,2020-01-22,82,Bilzen
411,2020-01-22,86,Heusden
412,2020-01-22,93,Opgrimbie
413,2020-01-21,93,Heusden-Zolder
414,2020-01-21,61,Wegnez
415,2020-01-21,92,Kortrijk
416,2020-01-21,72,Ciney
417,2020-01-21,88,Maasmechelen
418,2020-01-21,89,Gent
419,2020-01-21,86,Les Bulles
420,2020-01-21,72,Millen
421,2020-01-21,85,Borgerhout
422,2020-01-21,91,Ath
423,2020-01-21,86,Verviers
424,2020-01-21,86,Maaseik
425,2020-01-21,76,-
426,2020-01-21,91,Saint-Hubert
427,2020-01-21,74,Meeuwen
428,2020-01-21,67,Ciney
429,2020-01-21,97,Tenneville
430,2020-01-21,91,Mesnil-Saint-Blaise
431,2020-01-21,79,Maaseik
432,2020-01-21,85,Bihain
433,2020-01-21,75,Belgrade
434,2020-01-21,90,Boekhout
435,2020-01-21,75,Ath
436,2020-01-21,60,Bree
437,2020-01-21,85,Malle
438,2020-01-21,94,Maasmechelen
439,2020-01-21,83,Oudsbergen
440,2020-01-21,94,Blankenberge
441,2020-01-21,71,Emptinne
442,2020-01-21,93,Zolder
443,2020-01-21,91,Hasselt
444,2020-01-21,72,Eigenbilzen
445,2020-01-21,79,Hasselt
446,2020-01-21,96,Sint-Lambrechts-Woluwe
447,2020-01-21,91,Sint-Lambrechts-Herk
448,2020-01-20,72,Schaffen
449,2020-01-20,89,Deinze
450,2020-01-20,88,Namur
451,2020-01-20,73,Lummen
452,2020-01-20,86,Diepenbeek
453,2020-01-20,85,Dergneau
454,2020-01-20,79,Stokrooie
455,2020-01-20,91,Emptinne
456,2020-01-20,85,Wépion
457,2020-01-20,78,Néchin
458,2020-01-20,79,Namur
459,2020-01-20,69,Wépion
460,2020-01-20,93,Rocourt
461,2020-01-20,60,Hasselt
462,2020-01-20,49,Namur
463,2020-01-20,73,Herk-De-Stad
464,2020-01-20,92,Millen
465,2020-01-20,82,Wellen
466,2020-01-20,68,Libin
467,2020-01-20,92,Sensenruth
468,2020-01-20,92,Zandhoven
469,2020-01-20,91,Grimbergen
470,2020-01-20,96,-
471,2020-01-20,80,Balen
472,2020-01-20,85,Opglabbeek
473,2020-01-20,81,Froyennes
474,2020-01-20,83,Gellik
475,2020-01-20,94,Kinrooi
476,2020-01-20,78,Eksel
477,2020-01-20,80,Meeswijk
478,2020-01-20,94,Falaën
479,2020-01-20,94,Zoersel
480,2020-01-20,94,Sint-Truiden
481,2020-01-20,85,Linkhout
482,2020-01-20,93,Wetteren
483,2020-01-19,88,Halmaal
484,2020-01-19,55,Farciennes
485,2020-01-19,91,Hamont
486,2020-01-19,88,-
487,2020-01-19,77,Heusden-Zolder
488,2020-01-19,93,-
489,2020-01-19,84,Millen
490,2020-01-19,84,Basècles
491,2020-01-19,95,Blicquy
492,2020-01-19,87,Ogy
493,2020-01-19,86,Vosselaar
494,2020-01-19,83,Munsterbilzen
495,2020-01-19,82,Namur
496,2020-01-19,93,Lustin
497,2020-01-19,88,Marloie
498,2020-01-19,70,Sommière
499,2020-01-19,64,Zolder
500,2020-01-19,83,Bastogne
501,2020-01-19,87,Genk
502,2020-01-19,88,-
503,2020-01-19,83,Hasselt
504,2020-01-19,86,Lanaken
505,2020-01-19,83,Tongeren
506,2020-01-19,92,Namur
507,2020-01-19,98,Ath
508,2020-01-19,83,Vroenhoven
509,2020-01-19,89,Antoing
510,2020-01-19,74,Lummen
511,2020-01-19,90,Alken
512,2020-01-19,74,Izegem
513,2020-01-19,73,Hargimont
514,2020-01-19,120,-
515,2020-01-19,87,Kozen
516,2020-01-19,83,Nieuwerkerken
517,2020-01-19,89,Zolder
518,2020-01-19,89,Merksplas
519,2020-01-19,83,Mouscron
520,2020-01-19,86,Sint-Amandsberg
521,2020-01-19,71,Halen
522,2020-01-19,89,Hasselt
523,2020-01-19,86,Rijkevorsel
524,2020-01-19,81,Neerpelt
525,2020-01-19,91,Namur
526,2020-01-19,82,Deurne
527,2020-01-19,69,Vaulx
528,2020-01-19,94,Hoeselt
529,2020-01-18,81,-
530,2020-01-18,87,Maffle
531,2020-01-18,74,Genk
532,2020-01-18,74,Hasselt
533,2020-01-18,61,Houffalize
534,2020-01-18,84,Florennes
535,2020-01-18,92,Namur
536,2020-01-18,79,Wodecq
537,2020-01-18,82,Genk
538,2020-01-18,80,Rumillies
539,2020-01-18,83,Poucet
540,2020-01-18,89,Lambermont
541,2020-01-18,82,Forville
542,2020-01-18,72,Limbourg
543,2020-01-18,96,Furnaux
544,2020-01-18,34,Lesdain
545,2020-01-18,58,Oostham
546,2020-01-18,70,Péruwelz
547,2020-01-18,88,Pecq
548,2020-01-18,83,Bouge
549,2020-01-18,84,Bande
550,2020-01-18,72,Oud-Turnhout
551,2020-01-18,72,Chairière
552,2020-01-18,82,Bree
553,2020-01-18,57,Spalbeek
554,2020-01-18,74,Hasselt
555,2020-01-18,97,Dinant
556,2020-01-18,86,Beez
557,2020-01-18,95,Hoeselt
558,2020-01-18,83,Villers-Le-Bouillet
559,2020-01-18,97,Genk
560,2020-01-18,87,Ham-Sur-Sambre
561,2020-01-18,88,Duffel
562,2020-01-18,85,Tongeren
563,2020-01-18,37,Tournai
564,2020-01-18,83,Zutendaal
565,2020-01-18,63,Diepenbeek
566,2020-01-17,80,Pepinster
567,2020-01-17,78,Sint-Truiden
568,2020-01-17,95,Genk
569,2020-01-17,70,Tournai
570,2020-01-17,82,Kapellen
571,2020-01-17,82,Zwijnaarde
572,2020-01-17,97,Jollain-Merlin
573,2020-01-17,90,Genk
574,2020-01-17,83,Peer
575,2020-01-17,77,Lummen
576,2020-01-17,85,Ophoven
577,2020-01-17,64,Bouge
578,2020-01-17,84,Hamont
579,2020-01-17,58,Neeroeteren
580,2020-01-17,72,Heusy
581,2020-01-17,79,Thumaide
582,2020-01-17,93,Wanze
583,2020-01-17,93,Leopoldsburg
584,2020-01-17,59,Cognelée
585,2020-01-17,98,-
586,2020-01-17,74,Hasselt
587,2020-01-17,79,Genk
588,2020-01-17,88,Bouillon
589,2020-01-17,87,Hasselt
590,2020-01-17,77,Hamont
591,2020-01-17,79,Varsenare
592,2020-01-17,73,Lummen
593,2020-01-17,96,Merksplas
594,2020-01-17,94,Zoersel
595,2020-01-17,74,Hasselt
596,2020-01-17,89,Rumillies
597,2020-01-17,62,Assenede
598,2020-01-17,64,Grand-Manil
599,2020-01-16,69,Roux
600,2020-01-16,90,De Haan
601,2020-01-16,100,Gelinden
602,2020-01-16,96,Taintignies
