YEAR_WEEK,NIS5,AGEGROUP,CUMUL,AgeGroup,COUNT,percent
21W33,11056,45-54,2273,45-54,2443,93.04134261154319
21W33,11056,55-64,2745,55-64,2920,94.0068493150685
21W33,11056,65-74,2114,65-74,2131,99.20225246363209
21W33,11056,75-84,1211,75-84,1261,96.03489294210944
21W33,11056,85+,556,85+,621,89.5330112721417
21W33,11057,0-17,1123,0-17,2944,38.14538043478261
21W33,11057,35-44,1745,35-44,1890,92.32804232804233
21W33,11057,45-54,2006,45-54,2189,91.6400182731841
21W33,11057,55-64,2323,55-64,2370,98.0168776371308
21W33,11057,65-74,1699,65-74,1696,100.17688679245283
21W33,11057,75-84,1008,75-84,1003,100.49850448654038
21W33,11057,85+,506,85+,509,99.4106090373281
21W33,12002,0-17,732,0-17,2152,34.014869888475836
21W33,12002,35-44,1259,35-44,1410,89.29078014184397
21W33,12002,45-54,1553,45-54,1680,92.44047619047619
21W33,12002,55-64,1738,55-64,1809,96.0751796572692
21W33,12002,65-74,1276,65-74,1292,98.76160990712074
21W33,12002,75-84,783,75-84,802,97.63092269326684
21W33,12002,85+,376,85+,396,94.94949494949495
21W33,12005,0-17,965,0-17,2774,34.78731074260995
21W33,12005,35-44,1556,35-44,1621,95.99012954966071
21W33,12005,45-54,1990,45-54,2148,92.64432029795158
21W33,12005,55-64,2300,55-64,2355,97.66454352441613
21W33,12005,65-74,1683,65-74,1654,101.75332527206771
21W33,12005,75-84,1241,75-84,1267,97.94790844514601
21W33,12005,85+,658,85+,671,98.06259314456035
21W33,12007,0-17,1332,0-17,3689,36.10734616427216
21W33,12007,35-44,2397,35-44,2519,95.15680825724493
21W33,12007,45-54,2998,45-54,3204,93.5705368289638
21W33,12007,55-64,3180,55-64,3250,97.84615384615384
21W33,12007,65-74,2564,65-74,2542,100.8654602675059
21W33,12007,75-84,1538,75-84,1548,99.35400516795866
21W33,12007,85+,644,85+,676,95.26627218934911
21W33,12009,0-17,1032,0-17,3341,30.88895540257408
21W33,12009,35-44,2077,35-44,2255,92.10643015521065
21W33,12009,45-54,2223,45-54,2454,90.58679706601467
21W33,12009,55-64,2388,55-64,2469,96.71931956257595
21W33,12009,65-74,1903,65-74,1910,99.63350785340315
21W33,12009,75-84,1169,75-84,1205,97.01244813278008
21W33,12009,85+,542,85+,575,94.26086956521739
21W33,12014,0-17,2578,0-17,7575,34.03300330033003
21W33,12014,35-44,4838,35-44,5292,91.42101284958427
21W33,12014,45-54,5728,45-54,6244,91.736066623959
21W33,12014,55-64,6474,55-64,6572,98.50882531953744
21W33,12014,65-74,4859,65-74,4923,98.69997968718262
21W33,12014,75-84,3050,75-84,3080,99.02597402597402
21W33,12014,85+,1317,85+,1309,100.61115355233002
21W33,12021,0-17,1811,0-17,6597,27.451872063058968
21W33,12021,35-44,3945,35-44,4531,87.06687265504304
21W33,12021,45-54,4378,45-54,4899,89.36517656664626
21W33,12021,55-64,4966,55-64,5178,95.90575511780611
21W33,12021,65-74,3905,65-74,3991,97.84515159107993
21W33,12021,75-84,2512,75-84,2559,98.16334505666276
21W33,12021,85+,1113,85+,1155,96.36363636363636
21W33,12025,0-17,4357,0-17,19069,22.84860244375688
21W33,12025,35-44,10286,35-44,11677,88.08769375695812
21W33,12025,45-54,9535,45-54,10738,88.79679642391507
21W33,12025,55-64,9847,55-64,10429,94.41940742161282
21W33,12025,65-74,7389,65-74,7598,97.24927612529613
