name,date_time,n_baseline,n_crisis,percent_change
Thuin,2020-06-07,38863.223786189,38011,-0.02192879805539604
Charleroi,2020-06-07,115840.88147340697,111772,-0.03512474544093527
Dendermonde,2020-06-07,55144.487754062,54895,-0.004524255537102573
Turnhout,2020-06-07,117137.610664276,118688,0.013235623698758189
Eeklo,2020-06-07,23290.322780430703,23511,0.009475060592750467
Veurne,2020-06-07,16206.7730313395,16487,0.017290731974750104
Ieper,2020-06-07,27641.873412177803,27557,-0.003070465265223734
Kortrijk,2020-06-07,75856.920747509,75003,-0.01125699196717044
Mouscron,2020-06-07,21768.736051428503,21247,-0.023967218408818255
Sint-Niklaas,2020-06-07,66237.979399946,66188,-0.0007545429434708137
Liège,2020-06-07,158499.82062446701,153430,-0.03198628619573596
Namur,2020-06-07,76752.867540317,75841,-0.011880566414512352
Halle-Vilvoorde,2020-06-07,143475.109038364,141383,-0.014581686345361724
Arlon,2020-06-07,17321.8829081434,17160,-0.009345572245341566
Hasselt,2020-06-07,115300.943693174,113424,-0.01627864987964642
Bastogne,2020-06-07,12597.5003343012,12110,-0.038698179905882236
Oostende,2020-06-07,45678.210548464,48335,0.05816316838237747
Leuven,2020-06-08,112891.50492823601,113114,0.0019708752390662655
Eeklo,2020-06-08,22622.5126717365,22886,0.011647129215345312
Mechelen,2020-06-08,82727.78627903499,82871,0.0017311441222657672
Maaseik,2020-06-08,59023.527777778,58468,-0.00941197177961891
Arlon,2020-06-08,17175.9106430688,17288,0.006525962975734974
Kortrijk,2020-06-08,78467.98864893199,77458,-0.012871346218019025
Turnhout,2020-06-08,117431.76380638301,118626,0.010169618124666864
Veurne,2020-06-08,15531.199778543698,16169,0.04106574060926195
Roeselare,2020-06-08,43304.110781628,43270,-0.000787703084356368
Virton,2020-06-08,12437.8333333333,12463,0.0020233963578892913
Soignies,2020-06-08,47582.627254912004,46892,-0.014514273270623362
Brussel Hoofdstad,2020-06-08,302245.08333332697,280481,-0.07200806409586732
Bastogne,2020-06-08,11725.287326060301,11676,-0.004203506889827452
Halle-Vilvoorde,2020-06-08,147291.69854784198,145147,-0.014560892222621488
Antwerpen,2020-06-08,262979.714767545,260670,-0.008782862851557263
Mons,2020-06-08,67968.075575427,65447,-0.037092054675422786
Huy,2020-06-08,27993.5587128055,28168,0.0062314794979854244
Namur,2020-06-08,78810.398623645,77151,-0.02105557962686336
Thuin,2020-06-08,37123.416666667,36404,-0.019379053203175692
Philippeville,2020-06-08,15895.533169967799,15889,-0.0004110066581561715
Brugge,2020-06-08,76236.0,75387,-0.011136470958602235
Hasselt,2020-06-08,118978.233030298,117697,-0.010768633872480936
Liège,2020-06-08,164416.05896176602,157919,-0.03951596336022668
Oudenaarde,2020-06-08,29737.083333333,29938,0.0067564348666900595
Verviers,2020-06-08,59353.597222222,58876,-0.008046643246134848
Mouscron,2020-06-08,21996.9104254272,21824,-0.007860668706789113
Ieper,2020-06-08,27088.195282884,27190,0.003758268723805539
Dinant,2020-06-08,27012.708320580103,27236,0.008266171491208034
Charleroi,2020-06-08,117815.375102241,114267,-0.030118098755461203
Diksmuide,2020-06-08,13241.6759968981,13249,0.0005531024247697327
Neufchâteau,2020-06-08,15381.75,15419,0.0024217010418190387
Marche-en-Famenne,2020-06-08,15182.729995595699,15192,0.0006105624223700474
Tournai,2020-06-08,38636.672869398004,37483,-0.029859529398344367
Tielt,2020-06-08,24726.9545585239,24696,-0.001251854871599165
Waremme,2020-06-08,19925.1959057409,20260,0.016803051565612712
Oostende,2020-06-08,43903.210459964,45743,0.041905580953213686
Aalst,2020-06-08,76297.106043003,76370,0.0009553960926894181
Gent,2020-06-08,149286.583333334,146737,-0.017078449224343116
Ath,2020-06-08,21515.732519267498,21478,-0.0017537176219172756
Nivelles,2020-06-08,89662.93320767,89486,-0.0019733149623846853
Tongeren,2020-06-08,54700.5,55104,0.007376532207201031
Sint-Niklaas,2020-06-08,69325.54860186299,68761,-0.008143442255396992
Dendermonde,2020-06-08,53281.112785252,53542,0.004896429543419976
Marche-en-Famenne,2020-06-09,15010.4535801696,15304,0.019556132548732955
Waremme,2020-06-09,19824.1666666667,19985,0.008112993400309342
Maaseik,2020-06-09,58852.60534313,58540,-0.005311665325730453
Aalst,2020-06-09,75883.60184472201,76156,0.0035896840510468487
Roeselare,2020-06-09,43188.200711749,43189,1.8507097721791624e-05
Brugge,2020-06-09,75927.198446002,75514,-0.005442034665560089
Leuven,2020-06-09,113110.194406982,113034,-0.0006736298826244319
Ath,2020-06-09,21484.6238601906,21393,-0.0042646248213064055
Ieper,2020-06-09,27015.6666666666,27094,0.0028995521117401546
Verviers,2020-06-09,59277.236111111,58563,-0.012049079173870643
Mouscron,2020-06-09,21988.1077317598,21729,-0.011783994099025717
Oostende,2020-06-09,43701.34226196,45385,0.03852645367155104
Charleroi,2020-06-09,117561.01600089401,113695,-0.032885187049290346
Hasselt,2020-06-09,118980.39758903,117071,-0.016048001416378296
Turnhout,2020-06-09,117306.72322347999,117942,0.005415518898347807
Halle-Vilvoorde,2020-06-09,146788.634488299,144328,-0.01676311314480645
Tielt,2020-06-09,24660.5215152478,24560,-0.0040762120616811785
Bastogne,2020-06-09,11696.9947237528,11645,-0.004445135266002563
Nivelles,2020-06-09,89849.997189828,89209,-0.0071340813564385215
Namur,2020-06-09,79015.389647521,77395,-0.02050726642935492
Brussel Hoofdstad,2020-06-09,303100.333333333,280042,-0.07607491908619823
Huy,2020-06-09,27932.583333333,28183,0.008965037844106861
Antwerpen,2020-06-09,262674.575659539,259902,-0.010555173269348501
Tongeren,2020-06-09,54433.249999999,54610,0.003247096214188939
