date_time,start_name,end_name,n_crisis,n_baseline,start_lat,start_lon,end_lat,end_lon
2020-11-16 1600,Echternach,Echternach,692,1103.2,49.787048814884,6.3757679255438,49.787048814884,6.3757679255438
2020-11-16 1600,Eifelkreis-Bitburg-Prüm,Eifelkreis-Bitburg-Prüm,2773,3472.2,50.06209665165,6.4102003124805,50.06209665165,6.4102003124805
2020-11-16 1600,Remich,Remich,797,1183.8,49.546659467553,6.3132587076895,49.546659467553,6.3132587076895
2020-11-17 0000,Remich,Remich,853,1039.0,49.546659467553,6.3132587076895,49.546659467553,6.3132587076895
2020-11-17 0000,Mersch,Mersch,1655,1908.4,49.756366536944,6.1166859462950995,49.756366536944,6.1166859462950995
2020-11-17 0000,Moselle,Moselle,4472,4993.0,49.037552167624,6.6613465360915995,49.037552167624,6.6613465360915995
2020-11-17 0000,Meuse,Meuse,60,74.0,48.991195748057,5.3813854183080005,48.991195748057,5.3813854183080005
2020-11-17 0000,Diekirch,Diekirch,1910,2220.0,49.86111802693,6.1316698751135,49.86111802693,6.1316698751135
2020-11-17 0000,Luxembourg,Luxembourg,8380,9000.0,49.617167595459996,6.1698185880195995,49.617167595459996,6.1698185880195995
2020-11-17 0000,Vianden,Vianden,333,385.0,49.929415325753006,6.160849578033201,49.929415325753006,6.160849578033201
2020-11-17 0000,Virton,Virton,2063,2379.6,49.665627535954,5.4889092788252,49.665627535954,5.4889092788252
2020-11-17 0000,Grevenmacher,Grevenmacher,1068,1236.6,49.689340953569,6.349623076410801,49.689340953569,6.349623076410801
2020-11-17 0000,Trier-Saarburg,Trier-Saarburg,2385,2667.2,49.696535167735995,6.695377539178799,49.696535167735995,6.695377539178799
2020-11-17 0000,Eifelkreis-Bitburg-Prüm,Eifelkreis-Bitburg-Prüm,3108,3322.6,50.06209665165,6.4102003124805,50.06209665165,6.4102003124805
2020-11-17 0000,Merzig-Wadern,Merzig-Wadern,1337,1414.4,49.495883763829,6.6805543204747,49.495883763829,6.6805543204747
2020-11-17 0000,Clervaux,Clervaux,1035,1173.4,50.065104642356005,6.0130325647522,50.065104642356005,6.0130325647522
2020-11-17 0000,Saarlouis,Saarlouis,18,27.2,49.355396178189004,6.7754906297741995,49.355396178189004,6.7754906297741995
2020-11-17 0000,Trier,Trier,1359,1464.0,49.762781847047,6.6556081013759005,49.762781847047,6.6556081013759005
2020-11-17 0000,Vulkaneifel,Vulkaneifel,112,138.8,50.238281624738995,6.748623720576,50.238281624738995,6.748623720576
2020-11-17 0000,Bastogne,Bastogne,2733,3027.0,50.084349168341,5.7478738060997,50.084349168341,5.7478738060997
2020-11-17 0000,Meurthe-et-Moselle,Meurthe-et-Moselle,5527,6194.0,48.788772923342,6.161935534586201,48.788772923342,6.161935534586201
2020-11-17 0000,Arlon,Arlon,4042,4609.4,49.679280516079,5.779684440694799,49.679280516079,5.779684440694799
2020-11-17 0000,Redange,Redange,983,1200.6,49.799144752519,5.8885422366937,49.799144752519,5.8885422366937
2020-11-17 0000,Echternach,Echternach,821,980.4,49.787048814884,6.3757679255438,49.787048814884,6.3757679255438
2020-11-17 0000,Esch-sur-Alzette,Esch-sur-Alzette,11702,13391.0,49.522074327795,6.0254361757286,49.522074327795,6.0254361757286
2020-11-17 0000,Verviers,Verviers,579,553.8,50.46421316125,6.022040567855201,50.46421316125,6.022040567855201
2020-11-17 0000,Esch-sur-Alzette,Luxembourg,512,186.6,49.522074327795,6.0254361757286,49.617167595459996,6.1698185880195995
2020-11-17 0000,Capellen,Capellen,2113,2527.8,49.640456129419,5.9634696225832,49.640456129419,5.9634696225832
