date_time,start_name,end_name,n_crisis,n_baseline,start_lat,start_lon,end_lat,end_lon
2020-06-11 1600,Thuin,Charleroi,40,27.4,50.212453892481,4.258712821324,50.458216902291,4.4152261614461
2020-06-11 1600,Mechelen,Dendermonde,14,15.0,51.074751304095,4.526195057761901,51.038760537422,4.0355724630103
2020-06-11 1600,Sint-Niklaas,Antwerpen,206,231.8,51.195034590373,4.143062838623,51.280587359548996,4.5060116242207
2020-06-11 1600,Mechelen,Sint-Niklaas,70,57.6,51.074751304095,4.526195057761901,51.195034590373,4.143062838623
2020-06-11 1600,Nivelles,Soignies,16,22.6,50.66932764806,4.5837069443180996,50.597665082065,4.0451164078224
2020-06-11 1600,Charleroi,Soignies,102,94.6,50.458216902291,4.4152261614461,50.597665082065,4.0451164078224
2020-06-11 1600,Soignies,Charleroi,120,135.2,50.597665082065,4.0451164078224,50.458216902291,4.4152261614461
2020-06-11 1600,Soignies,Thuin,89,99.8,50.597665082065,4.0451164078224,50.212453892481,4.258712821324
2020-06-11 1600,Sint-Niklaas,Mechelen,34,25.4,51.195034590373,4.143062838623,51.074751304095,4.526195057761901
2020-06-11 1600,Thuin,Soignies,27,22.6,50.212453892481,4.258712821324,50.597665082065,4.0451164078224
2020-06-11 1600,Soignies,Nivelles,10,10.2,50.597665082065,4.0451164078224,50.66932764806,4.5837069443180996
2020-06-11 1600,Halle-Vilvoorde,Aalst,87,96.0,50.851079717566,4.2727091172415,50.874955561564,3.9487262485012002
2020-06-11 1600,Sint-Niklaas,Dendermonde,164,156.4,51.195034590373,4.143062838623,51.038760537422,4.0355724630103
2020-06-11 1600,Soignies,Mons,18,21.6,50.597665082065,4.0451164078224,50.445145676902,3.8719015587999
2020-06-11 1600,Sint-Niklaas,Gent,11,32.2,51.195034590373,4.143062838623,51.060636817492,3.664133655134
2020-06-11 1600,Dendermonde,Sint-Niklaas,40,45.8,51.038760537422,4.0355724630103,51.195034590373,4.143062838623
2020-06-11 1600,Veurne,Diksmuide,13,11.8,51.047854960287,2.676367663485,51.021583806801004,2.8812779469993997
2020-06-11 1600,Halle-Vilvoorde,Leuven,40,69.6,50.851079717566,4.2727091172415,50.890293562369,4.848512572479
2020-06-11 1600,Kortrijk,Roeselare,76,92.2,50.82022156745,3.3180857192644,50.940243152523,3.1167142695792998
2020-06-11 1600,Hasselt,Turnhout,22,22.6,50.953936542609995,5.284252578166099,51.250102901016,4.9504212151206
2020-06-11 1600,Oudenaarde,Gent,12,21.8,50.832901719028996,3.6380644903662995,51.060636817492,3.664133655134
2020-06-11 1600,Kortrijk,Gent,30,45.8,50.82022156745,3.3180857192644,51.060636817492,3.664133655134
2020-06-11 1600,Kortrijk,Oudenaarde,10,16.8,50.82022156745,3.3180857192644,50.832901719028996,3.6380644903662995
2020-06-11 1600,Kortrijk,Tielt,77,77.6,50.82022156745,3.3180857192644,50.999822739041996,3.3128638139388995
2020-06-11 1600,Tielt,Kortrijk,25,14.6,50.999822739041996,3.3128638139388995,50.82022156745,3.3180857192644
2020-06-11 1600,Tournai,Mouscron,72,65.2,50.615166550698994,3.4487209667789,50.745555138017,3.0579233029126
2020-06-11 1600,Veurne,Oostende,50,40.0,51.047854960287,2.676367663485,51.176698232275,2.9528867082907997
2020-06-11 1600,Brugge,Gent,12,27.4,51.203015581247996,3.2204347794965,51.060636817492,3.664133655134
2020-06-11 1600,Verviers,Liège,70,71.6,50.46421316125,6.022040567855201,50.61346769586601,5.6077711552607
2020-06-11 1600,Hasselt,Leuven,60,53.4,50.953936542609995,5.284252578166099,50.890293562369,4.848512572479
2020-06-11 1600,Brugge,Eeklo,33,20.6,51.203015581247996,3.2204347794965,51.220134592101005,3.590890147859
2020-06-11 1600,Roeselare,Tielt,38,51.2,50.940243152523,3.1167142695792998,50.999822739041996,3.3128638139388995
2020-06-11 1600,Brugge,Oostende,139,147.6,51.203015581247996,3.2204347794965,51.176698232275,2.9528867082907997
2020-06-11 1600,Tongeren,Hasselt,31,28.4,50.837364003409995,5.516476310249599,50.953936542609995,5.284252578166099
2020-06-11 1600,Brugge,Tielt,11,15.0,51.203015581247996,3.2204347794965,50.999822739041996,3.3128638139388995
2020-06-11 1600,Liège,Waremme,47,57.2,50.61346769586601,5.6077711552607,50.662809346216,5.2064721095822994
2020-06-11 1600,Liège,Huy,33,55.8,50.61346769586601,5.6077711552607,50.495134562436,5.3390395617084
2020-06-11 1600,Liège,Verviers,55,97.8,50.61346769586601,5.6077711552607,50.46421316125,6.022040567855201
2020-06-11 1600,Liège,Brussel Hoofdstad,11,17.0,50.61346769586601,5.6077711552607,50.836020816469,4.3707068069884
2020-06-11 1600,Mouscron,Kortrijk,31,20.4,50.745555138017,3.0579233029126,50.82022156745,3.3180857192644
2020-06-11 1600,Maaseik,Tongeren,43,40.0,51.139464185368006,5.5153499054274,50.837364003409995,5.516476310249599
