date_time,name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2020-03-02,Arr. Tongeren,0.016585882568688273,0.14061815879234235
2020-03-02,Arr. Roeselare,-0.0045743099710611615,0.12290914792160895
2020-03-02,Arr. Aalst,0.013613394473350214,0.14764422833065755
2020-03-02,Arr. Dendermonde,0.028623382061300256,0.1378586747796059
2020-03-02,Arr. Neufchâteau,0.07160129925767855,0.16549160887284747
2020-03-02,Arr. Huy,0.04662357786776341,0.15387959071283475
2020-03-02,Arr. Nivelles,0.0716282033801398,0.1418085869668705
2020-03-02,Arr. Leuven,0.04884359260879445,0.13127476578414027
2020-03-02,Arr. Maaseik,0.022042651577447555,0.1285469525812704
2020-03-02,Bezirk Verviers - Deutschsprachige Gemeinschaft,0.0740265475319355,0.16932771765852148
2020-03-02,Arr. Brugge,0.034776758619296834,0.1365001816055154
